Gender,Race,Age,Education_Level,Experience_Years,Technical_Skills,Communication_Score,University_Prestige,Location,Interview_Score,Name_Complexity,Hiring_Decision
Male,White,29,Bachelors,2.3,94.1,34.9,4.6,Urban,52.6,1,1
Female,Black,40,PhD,7.5,54.3,15.2,3.0,Suburban,80.5,2,0
Female,White,54,PhD,6.4,51.9,34.1,3.1,Suburban,81.9,1,0
Male,White,43,High School,7.8,72.0,23.1,1.1,Urban,60.4,4,0
Male,Black,34,Bachelors,5.9,82.6,88.8,1.0,Rural,90.5,1,1
Male,Asian,33,High School,2.2,41.0,54.5,4.4,Suburban,29.0,3,0
Male,White,31,Bachelors,0.6,61.8,53.3,2.6,Suburban,100.0,1,1
Male,White,46,Bachelors,1.9,56.5,80.4,1.3,Rural,23.1,2,0
Male,White,28,PhD,10.8,97.8,85.5,2.0,Suburban,100.0,1,1
Male,Hispanic,35,PhD,19.5,100.0,7.8,3.0,Urban,30.4,3,1
Male,Asian,35,Bachelors,3.9,77.1,16.5,1.3,Urban,81.7,3,0
Male,Asian,29,Bachelors,0.1,94.9,23.5,2.7,Suburban,69.7,3,0
Male,White,22,Masters,0.9,63.1,40.8,1.2,Rural,14.2,1,0
Male,Black,38,Masters,1.9,31.3,57.3,1.9,Urban,19.7,1,0
Male,White,34,High School,5.2,65.9,68.1,3.3,Urban,42.3,2,1
Male,Asian,40,Bachelors,0.5,77.1,46.5,1.2,Suburban,43.6,4,0
Female,Hispanic,29,Bachelors,12.9,60.3,79.9,1.0,Suburban,81.6,4,0
Male,Asian,47,High School,2.6,56.9,53.3,3.9,Urban,11.0,4,0
Male,Hispanic,26,High School,12.1,8.5,56.8,2.5,Rural,66.4,3,0
Male,Asian,52,High School,8.8,50.5,40.6,2.4,Rural,39.4,3,0
Male,White,22,Masters,8.5,45.8,74.6,1.3,Suburban,65.2,1,1
Male,Hispanic,39,Bachelors,4.6,90.1,61.7,1.9,Urban,26.7,3,0
Male,White,39,High School,6.0,86.1,24.1,1.8,Suburban,89.0,1,1
Female,Black,27,High School,4.6,74.5,49.7,1.0,Urban,11.7,3,0
Male,White,39,Masters,6.0,61.0,59.0,2.5,Suburban,89.0,1,1
Male,White,47,Masters,4.9,86.0,42.8,1.7,Urban,100.0,2,1
Male,Black,22,Bachelors,21.3,93.4,36.0,1.7,Suburban,62.5,1,1
Male,White,40,Bachelors,8.0,62.0,53.5,1.0,Urban,32.2,3,0
Male,Black,22,PhD,7.4,62.4,42.1,1.0,Rural,55.0,1,0
Female,Black,25,High School,9.3,49.6,72.0,4.6,Suburban,72.2,2,0
Male,White,51,High School,1.5,58.9,75.2,5.0,Rural,66.2,2,1
Female,White,29,Bachelors,0.5,54.2,52.6,2.4,Urban,81.3,1,0
Female,Black,23,High School,3.0,60.0,44.0,3.3,Urban,83.4,3,0
Male,White,33,Bachelors,4.4,68.9,55.5,3.3,Urban,88.2,2,1
Male,Asian,55,PhD,10.2,92.5,36.6,1.3,Urban,20.9,3,0
Male,Asian,22,Masters,3.4,86.1,0.0,1.0,Urban,46.1,4,0
Male,Hispanic,24,Bachelors,4.2,57.3,26.9,1.6,Suburban,35.0,3,0
Male,Asian,49,PhD,4.3,71.6,46.6,2.5,Suburban,59.0,4,0
Male,Black,53,High School,0.2,71.8,49.9,2.3,Urban,72.2,1,0
Male,Asian,33,High School,5.5,51.3,33.7,4.4,Urban,31.1,4,0
Male,White,22,Bachelors,10.7,98.1,67.0,3.3,Suburban,60.0,1,1
Female,White,55,Masters,0.9,81.6,60.8,4.0,Urban,93.7,2,0
Male,Asian,50,High School,5.2,82.5,32.1,4.5,Rural,46.4,3,0
Female,Black,41,Bachelors,4.1,94.3,25.8,4.1,Urban,62.4,1,0
Male,Asian,26,Masters,1.0,84.6,9.8,2.8,Urban,90.2,4,0
Male,Hispanic,34,Masters,0.7,82.5,15.4,1.0,Urban,79.2,3,0
Male,Hispanic,33,Masters,19.4,46.2,46.9,2.2,Urban,54.0,4,1
Male,Hispanic,38,Bachelors,2.5,67.5,21.1,3.1,Rural,96.8,3,0
Female,Black,49,High School,1.2,74.2,45.8,1.8,Urban,43.0,1,0
Female,White,43,Bachelors,1.0,74.9,14.1,4.7,Suburban,45.2,4,0
Female,Black,24,High School,5.0,54.0,36.2,5.0,Urban,67.1,1,0
Male,White,48,PhD,5.7,59.4,34.6,2.0,Suburban,99.9,1,1
Male,Asian,38,Bachelors,6.0,97.0,21.6,2.2,Rural,69.0,3,1
Female,Asian,41,Bachelors,0.5,87.1,51.4,3.9,Rural,93.4,4,0
Female,Asian,49,Masters,11.8,84.5,62.3,1.1,Urban,77.8,3,1
Female,White,23,Bachelors,2.7,38.5,15.8,1.5,Rural,96.1,1,0
Male,White,34,Bachelors,2.3,100.0,28.7,4.6,Urban,91.6,1,1
Male,Black,29,Masters,3.1,65.3,55.0,3.0,Urban,53.7,1,0
Female,White,22,Masters,2.7,46.6,81.8,2.1,Suburban,36.6,2,0
Male,Hispanic,38,Masters,9.9,76.0,26.9,4.0,Rural,70.2,4,0
Female,White,60,High School,14.6,54.7,29.5,2.5,Urban,75.4,1,1
Female,White,22,Bachelors,2.0,79.7,76.7,2.7,Suburban,85.1,1,0
Male,White,34,Masters,12.1,81.3,5.2,3.3,Urban,83.6,3,1
Female,Asian,41,High School,8.0,84.8,22.7,1.1,Urban,70.2,3,0
Female,Asian,36,High School,14.0,82.4,74.1,1.5,Rural,48.6,3,0
Male,White,33,Masters,1.7,100.0,6.6,4.4,Suburban,96.6,1,1
Female,White,22,High School,4.7,70.1,31.1,1.4,Urban,71.8,3,0
Male,Black,37,Masters,1.6,73.2,52.1,1.0,Suburban,53.8,1,0
Female,White,27,Bachelors,9.6,93.0,95.2,2.3,Suburban,58.0,1,0
Male,Asian,22,Bachelors,0.0,61.2,53.8,1.5,Suburban,65.5,3,0
Female,Asian,46,High School,4.4,73.8,64.3,4.2,Urban,55.1,3,0
Male,White,44,Masters,2.5,100.0,58.6,1.4,Urban,51.0,1,1
Male,White,35,Bachelors,2.4,55.5,78.4,2.8,Rural,39.6,2,0
Female,Hispanic,37,Bachelors,4.7,26.1,37.3,1.9,Suburban,61.5,4,0
Male,Black,45,Masters,9.4,57.9,65.1,3.3,Suburban,58.0,1,1
Male,Asian,37,Masters,5.4,79.1,15.6,2.0,Suburban,100.0,3,1
Female,White,44,PhD,10.6,79.9,4.5,2.3,Urban,57.6,1,0
Female,Black,32,Bachelors,1.4,56.2,91.5,5.0,Suburban,36.5,1,0
Male,White,48,Bachelors,4.4,49.4,80.3,1.0,Urban,100.0,2,1
Male,Black,38,PhD,3.0,77.0,80.5,2.0,Urban,81.7,1,0
Male,Hispanic,36,Masters,0.1,83.3,56.3,5.0,Urban,16.8,3,0
Male,White,22,Bachelors,4.9,75.0,93.5,3.1,Suburban,84.0,1,1
Male,White,37,High School,6.6,74.8,59.0,2.8,Urban,63.2,1,1
Male,White,26,Masters,5.4,77.2,100.0,1.4,Urban,56.3,3,1
Female,White,28,Bachelors,7.3,34.4,75.0,1.0,Urban,59.6,2,0
Female,White,26,Masters,4.7,97.8,86.8,1.1,Urban,84.3,1,0
Female,White,24,Bachelors,0.4,60.4,47.0,5.0,Urban,100.0,1,0
Male,Asian,56,High School,0.7,35.4,62.5,5.0,Suburban,66.4,3,0
Male,Black,48,Masters,4.5,92.8,33.1,1.6,Urban,63.9,1,0
Male,White,54,High School,1.9,68.8,79.8,1.1,Urban,31.3,2,0
Male,Hispanic,22,Bachelors,0.4,86.2,53.0,1.0,Suburban,62.8,3,0
Male,White,35,Bachelors,3.4,74.4,87.0,2.1,Suburban,55.5,3,1
Female,Hispanic,22,Bachelors,3.6,26.5,62.6,2.5,Suburban,62.2,3,0
Male,White,28,Masters,2.4,45.2,59.8,3.1,Urban,82.8,3,1
Male,Hispanic,25,Masters,6.3,71.1,61.3,3.8,Rural,91.3,4,1
Male,Asian,47,Masters,6.0,76.1,31.9,3.7,Urban,66.0,3,0
Female,Hispanic,31,High School,1.8,79.3,29.7,3.1,Suburban,68.2,4,0
Male,Hispanic,45,High School,7.0,68.4,56.3,3.2,Urban,41.9,4,0
Male,White,41,Bachelors,6.3,65.2,31.0,3.0,Urban,64.9,2,1
Male,Hispanic,58,PhD,5.0,100.0,63.1,1.7,Suburban,48.9,3,0
Female,White,22,Masters,4.4,65.4,58.4,2.0,Urban,36.8,1,0
Male,White,47,Masters,0.1,53.8,24.2,1.5,Urban,13.1,1,0
Female,White,46,Bachelors,6.6,86.9,54.7,3.7,Suburban,68.8,1,1
Female,Black,25,Bachelors,2.1,34.1,38.2,4.7,Suburban,0.0,1,0
Male,White,45,Bachelors,17.3,28.5,70.8,2.2,Suburban,45.0,1,1
Male,Black,38,High School,8.4,47.7,59.4,3.8,Suburban,61.4,1,0
Female,Black,32,High School,4.0,52.5,56.4,1.0,Suburban,24.7,3,0
Male,Asian,26,PhD,1.7,94.7,10.4,3.0,Urban,70.3,3,0
Male,Hispanic,27,High School,1.1,54.4,32.7,4.1,Rural,89.1,4,0
Female,Black,55,High School,1.9,24.7,59.5,2.6,Suburban,43.0,1,0
Female,White,35,High School,3.6,94.9,67.5,4.3,Suburban,94.5,2,1
Female,White,42,PhD,1.9,56.6,49.3,1.9,Urban,29.7,1,0
Female,White,27,Bachelors,4.0,71.2,83.1,1.3,Rural,69.5,2,0
Male,White,27,Masters,1.1,96.3,9.3,1.1,Urban,74.4,1,1
Male,White,45,PhD,23.0,75.5,50.4,1.9,Suburban,54.0,2,1
Female,White,22,Bachelors,0.6,77.0,95.7,4.5,Urban,91.0,1,1
Male,Hispanic,30,Masters,13.3,80.8,39.0,1.2,Suburban,81.5,3,1
Male,Black,35,High School,12.1,64.5,47.0,2.6,Urban,48.3,1,0
Female,White,36,High School,4.1,95.9,59.9,3.2,Suburban,69.9,1,1
Male,Black,33,Masters,6.4,89.0,36.4,1.0,Urban,67.4,1,0
Male,White,38,Masters,3.5,83.8,68.8,1.0,Urban,50.1,1,1
Male,Black,41,Bachelors,4.9,94.4,64.6,1.5,Rural,19.6,1,0
Male,Asian,42,Bachelors,2.4,86.1,60.9,1.6,Urban,70.6,3,0
Male,Black,25,Bachelors,1.8,52.9,64.1,1.0,Urban,83.0,1,0
Male,Black,32,High School,4.3,48.3,36.3,1.3,Urban,40.5,2,0
Male,Hispanic,46,High School,3.4,50.6,45.3,1.0,Rural,11.8,3,0
Male,Hispanic,43,High School,4.3,88.6,40.4,3.1,Urban,59.8,3,1
Female,Asian,22,Bachelors,1.8,64.3,11.0,3.1,Urban,50.9,4,0
Male,Black,38,Masters,2.3,89.5,44.3,2.8,Suburban,83.8,1,0
Female,Asian,22,Bachelors,0.5,35.8,82.6,2.8,Urban,57.1,3,0
Male,White,35,High School,0.3,74.5,80.7,4.9,Urban,100.0,1,1
Male,White,53,Bachelors,1.8,77.6,62.4,4.5,Rural,45.5,2,1
Female,White,25,Masters,0.4,55.5,67.4,5.0,Urban,70.6,3,0
Male,Black,26,High School,0.5,70.9,19.8,2.9,Suburban,61.1,1,0
Female,Black,42,High School,7.5,63.6,70.0,3.6,Suburban,87.0,1,0
Male,White,22,Bachelors,0.2,73.6,61.4,3.1,Rural,72.4,2,0
Female,Hispanic,28,Masters,4.8,57.1,36.6,2.1,Rural,76.0,4,0
Male,Hispanic,40,Bachelors,1.6,75.3,43.1,1.0,Urban,47.7,3,0
Female,Asian,28,Masters,10.8,31.9,55.3,3.1,Suburban,80.9,4,0
Male,Black,32,PhD,3.3,55.7,39.4,1.2,Suburban,56.4,4,0
Female,Hispanic,42,Masters,1.6,100.0,71.8,1.0,Urban,16.4,3,0
Male,White,39,Masters,4.4,59.2,64.8,2.0,Urban,75.8,1,1
Male,Asian,37,Bachelors,2.8,63.4,43.0,3.4,Rural,52.6,3,0
Female,White,31,High School,4.6,75.0,83.5,4.4,Urban,62.7,3,0
Male,Asian,38,PhD,0.7,86.6,31.5,2.1,Urban,100.0,3,0
Male,White,33,Bachelors,25.0,80.6,30.8,3.2,Rural,46.7,1,1
Male,Hispanic,39,High School,2.7,97.5,18.0,1.6,Suburban,31.1,3,0
Male,Hispanic,30,Masters,2.1,82.5,74.9,3.1,Urban,66.7,3,0
Male,White,33,Bachelors,7.5,55.5,9.7,2.2,Urban,28.6,1,0
Male,Black,25,Bachelors,2.2,44.9,77.5,3.7,Urban,86.0,4,0
Female,Hispanic,34,Bachelors,8.1,45.2,25.4,1.5,Rural,0.0,4,0
Male,Black,26,Bachelors,3.0,76.1,51.4,2.0,Rural,27.6,2,0
Male,Hispanic,23,Masters,6.3,42.0,6.1,1.7,Urban,78.8,3,0
Female,Black,37,Bachelors,0.5,70.6,27.5,3.3,Rural,50.1,2,0
Female,White,37,Bachelors,10.3,25.6,92.0,4.9,Urban,41.2,3,0
Male,White,42,Bachelors,8.1,67.7,21.7,2.2,Suburban,61.2,1,0
Male,White,30,Masters,1.4,80.0,56.3,2.2,Urban,55.6,2,0
Male,Asian,39,Masters,0.9,100.0,23.0,3.1,Suburban,72.4,3,0
Male,White,40,Bachelors,2.3,65.0,78.9,4.2,Urban,87.9,3,1
Male,Black,39,Masters,18.5,76.5,65.7,1.5,Urban,13.7,2,0
Male,Black,26,High School,1.5,80.3,69.0,1.0,Urban,38.2,3,0
Male,Black,36,PhD,3.0,52.8,24.6,2.3,Urban,74.7,1,0
Male,Hispanic,38,Bachelors,0.2,78.2,65.5,2.2,Rural,25.2,3,0
Female,Hispanic,35,Masters,2.3,95.5,77.3,2.1,Rural,77.9,3,0
Female,Black,22,High School,3.8,82.8,23.4,1.0,Rural,35.4,1,0
Male,Hispanic,36,High School,15.1,45.6,28.5,1.2,Urban,68.3,3,0
Male,Asian,57,Bachelors,4.2,52.9,37.1,2.9,Urban,46.4,3,0
Male,Black,31,Masters,8.5,72.0,61.5,4.9,Urban,42.7,4,0
Female,Hispanic,27,Bachelors,3.6,69.3,30.2,3.6,Urban,25.4,3,0
Male,White,38,PhD,0.3,80.8,44.8,3.0,Urban,62.5,1,1
Male,White,38,Bachelors,2.3,63.2,61.3,4.4,Suburban,54.1,2,1
Female,Hispanic,46,Bachelors,3.9,62.8,23.1,1.2,Urban,28.6,3,0
Female,Black,22,High School,13.5,58.1,63.8,2.8,Rural,96.7,1,1
Female,Hispanic,42,Masters,8.8,73.8,20.3,1.4,Suburban,63.0,3,0
Female,Hispanic,40,High School,1.2,75.7,43.8,3.0,Urban,51.3,4,0
Male,White,33,Masters,1.5,71.4,34.8,5.0,Suburban,34.0,4,1
Male,Hispanic,38,PhD,1.1,79.2,37.8,3.6,Urban,32.7,3,0
Female,Black,45,PhD,11.5,78.0,35.7,2.2,Urban,51.7,3,0
Female,Black,43,Bachelors,8.6,66.2,47.9,2.9,Urban,71.5,3,0
Male,Asian,23,Masters,8.6,97.1,66.4,4.4,Suburban,20.4,4,1
Male,Hispanic,43,Masters,2.5,47.3,52.8,1.0,Urban,36.8,3,0
Male,White,34,High School,4.2,56.3,19.0,3.4,Suburban,57.5,2,0
Female,Black,35,Masters,2.8,94.4,26.3,1.0,Urban,37.2,3,0
Female,Asian,35,High School,1.5,62.9,48.1,3.8,Urban,69.6,3,0
Male,Asian,33,Bachelors,4.1,74.2,59.9,1.2,Urban,47.3,3,0
Male,Asian,46,High School,0.2,75.3,18.9,1.5,Suburban,58.9,4,0
Male,White,34,High School,0.9,86.6,21.6,4.0,Suburban,100.0,1,1
Female,White,23,Bachelors,12.0,90.6,59.8,1.4,Suburban,56.5,2,1
Female,White,31,Bachelors,7.7,55.2,62.7,1.1,Urban,58.8,1,0
Female,Hispanic,36,Masters,2.5,99.4,60.2,1.7,Urban,37.2,3,0
Male,White,47,High School,4.4,70.6,52.8,4.6,Suburban,70.8,2,1
Male,White,41,Bachelors,2.8,85.5,15.0,1.0,Urban,79.1,1,0
Male,Hispanic,26,High School,6.7,78.1,40.4,4.1,Urban,67.7,3,1
Male,White,59,Bachelors,9.3,64.1,8.4,4.4,Urban,79.3,4,1
Female,Hispanic,37,Masters,6.5,76.4,59.0,2.0,Suburban,43.8,4,0
Female,Asian,47,Bachelors,6.7,63.6,57.5,2.7,Suburban,52.9,3,0
Female,Hispanic,33,Masters,1.0,57.9,62.1,1.0,Urban,1.9,4,0
Female,White,40,Bachelors,2.3,61.7,53.8,1.9,Suburban,55.0,1,0
Male,White,43,Masters,3.8,55.8,88.1,1.1,Suburban,70.1,1,0
Female,Asian,47,Bachelors,2.1,49.4,74.3,1.5,Urban,62.8,3,0
Female,Hispanic,45,Bachelors,6.3,59.6,53.1,2.3,Urban,72.3,4,0
Female,Asian,43,Masters,2.1,72.9,44.7,2.3,Suburban,51.1,4,0
Male,White,31,High School,0.9,66.9,46.7,3.1,Suburban,68.1,1,0
Male,Asian,29,Masters,2.9,73.8,51.2,2.7,Urban,79.3,3,1
Male,Asian,38,Masters,22.6,19.5,41.5,4.0,Suburban,30.2,3,1
Female,Asian,44,Bachelors,1.3,93.6,56.3,1.0,Urban,66.5,4,0
Male,Asian,32,High School,5.5,98.5,35.8,1.4,Suburban,41.7,3,0
Male,Hispanic,45,High School,2.8,51.5,69.6,2.0,Urban,48.5,4,0
Male,Asian,49,PhD,0.4,88.5,52.1,1.0,Urban,5.9,3,0
Male,White,25,Masters,4.0,54.0,51.6,3.3,Suburban,70.1,2,1
Male,Black,26,High School,6.0,89.2,55.3,2.0,Urban,100.0,3,1
Male,White,33,Bachelors,4.4,55.4,19.2,2.4,Urban,67.5,1,0
Male,Black,38,Bachelors,10.2,99.7,9.0,2.0,Suburban,100.0,1,1
Male,Black,29,Masters,1.7,63.9,7.0,1.7,Suburban,41.5,1,0
Female,White,48,High School,0.5,59.5,77.6,2.5,Suburban,67.0,2,0
Male,White,39,High School,16.7,68.5,10.1,1.3,Urban,90.0,1,1
Female,White,35,Masters,2.6,89.7,65.7,1.2,Suburban,82.3,1,0
Male,Hispanic,22,High School,4.3,96.3,48.3,1.8,Urban,3.9,3,0
Male,Hispanic,22,High School,7.8,76.4,54.4,1.0,Urban,67.3,3,0
Female,White,37,PhD,2.2,92.6,65.4,2.9,Urban,61.0,1,0
Male,Hispanic,22,Masters,6.2,96.1,67.8,1.0,Urban,63.4,3,0
Male,Black,45,Bachelors,0.7,38.1,80.6,1.0,Urban,31.7,2,0
Male,White,33,High School,2.1,57.5,45.9,1.0,Urban,79.0,1,0
Female,White,65,High School,0.9,86.5,76.3,2.1,Rural,41.7,2,0
Male,Black,58,High School,8.3,38.7,7.5,1.6,Rural,33.0,1,0
Female,Asian,33,Masters,1.3,68.7,68.0,1.0,Rural,53.7,3,0
Male,Asian,33,Bachelors,7.3,56.0,0.3,2.1,Suburban,92.9,4,0
Male,White,44,Masters,17.4,68.0,40.8,2.0,Rural,50.6,2,1
Male,White,52,PhD,4.5,89.0,55.5,4.3,Urban,80.7,1,1
Male,Black,22,Bachelors,3.8,73.1,48.2,3.7,Suburban,78.3,1,0
Male,White,22,High School,3.7,71.8,59.0,1.2,Urban,90.8,1,1
Male,White,28,Bachelors,2.4,86.6,33.0,1.1,Urban,16.7,1,0
Male,White,40,PhD,3.9,46.0,67.1,3.6,Urban,77.2,1,1
Female,Hispanic,39,Masters,4.2,67.3,54.2,3.9,Suburban,10.0,3,0
Male,Hispanic,45,High School,21.1,38.3,0.0,4.6,Urban,100.0,3,1
Male,Black,23,Masters,13.7,99.6,60.8,1.2,Suburban,83.1,1,1
Female,Hispanic,22,Bachelors,8.9,37.9,67.0,1.6,Rural,82.2,3,0
Male,White,43,PhD,13.3,60.9,35.2,2.8,Urban,93.1,1,1
Male,Black,26,High School,3.1,96.3,64.9,3.9,Urban,33.9,1,0
Female,White,22,Bachelors,5.9,75.3,51.1,1.9,Suburban,27.1,1,0
Female,Asian,36,Masters,11.8,72.2,54.5,2.7,Urban,41.0,4,0
Male,Hispanic,42,Bachelors,2.5,82.2,63.8,1.0,Rural,100.0,3,0
Female,Asian,33,Bachelors,17.1,44.2,36.2,1.4,Rural,39.8,4,0
Male,White,30,High School,3.3,63.9,51.4,2.1,Urban,76.0,1,1
Male,Asian,33,Bachelors,5.3,49.1,1.9,1.4,Urban,51.5,3,0
Male,White,31,Bachelors,7.5,85.5,34.1,3.0,Rural,57.8,3,1
Female,Hispanic,22,PhD,13.5,56.4,20.8,2.9,Rural,72.6,4,0
Male,Black,27,Bachelors,1.4,94.1,46.9,4.4,Urban,77.8,4,0
Male,Black,40,Bachelors,6.8,100.0,54.6,1.5,Urban,53.5,1,0
Male,Black,38,Masters,3.6,54.5,51.0,1.2,Suburban,63.3,1,0
Male,Asian,36,High School,1.8,78.5,89.6,1.4,Urban,15.0,4,0
Male,White,25,Bachelors,9.1,68.4,22.9,1.9,Rural,54.8,1,1
Male,Asian,33,Masters,4.6,81.6,65.5,3.4,Suburban,88.5,3,1
Male,White,22,Masters,6.5,76.0,61.5,2.3,Suburban,100.0,1,1
Male,Asian,36,Masters,2.3,76.2,34.7,2.2,Urban,73.6,3,0
Male,Hispanic,49,Masters,3.2,93.2,85.1,2.0,Suburban,87.0,3,1
Male,Hispanic,22,High School,4.8,72.6,30.5,1.0,Urban,75.3,3,0
Male,Black,29,PhD,2.6,100.0,63.5,2.9,Urban,71.5,1,0
Male,Black,38,High School,1.1,84.9,12.4,2.0,Suburban,85.9,4,0
Female,White,47,Masters,17.9,79.4,47.8,4.5,Urban,65.2,1,1
Male,Asian,30,Bachelors,4.1,52.5,39.4,2.7,Suburban,92.5,4,1
Male,White,28,PhD,8.0,77.2,18.9,1.7,Rural,60.3,2,1
Male,Black,22,Masters,2.6,79.6,59.4,1.6,Urban,34.8,1,0
Male,White,36,Masters,2.7,57.2,43.7,3.5,Urban,76.9,2,1
Male,White,55,High School,3.2,64.6,40.1,1.3,Urban,33.9,1,0
Male,Asian,37,Bachelors,3.0,97.1,11.6,2.8,Urban,64.0,4,1
Male,White,34,Masters,4.8,100.0,38.2,1.5,Suburban,82.5,3,1
Male,Asian,38,Masters,4.5,91.2,46.0,1.9,Suburban,72.9,3,0
Male,White,34,High School,4.2,25.9,72.8,4.6,Rural,49.4,2,0
Male,White,26,PhD,0.9,97.3,47.3,2.1,Suburban,55.6,1,0
Male,Black,43,Masters,3.4,26.9,52.5,1.5,Urban,47.1,1,0
Male,White,37,Bachelors,1.1,81.1,59.2,1.8,Urban,78.4,1,1
Male,White,35,Masters,0.8,87.6,64.0,1.4,Urban,67.6,1,0
Male,Asian,25,Bachelors,15.6,89.7,32.7,2.5,Urban,38.9,3,1
Male,White,48,Bachelors,5.6,97.7,35.1,2.0,Urban,100.0,1,1
Male,Hispanic,41,Bachelors,5.3,46.1,53.2,1.3,Urban,63.7,3,0
Female,White,29,Bachelors,2.8,71.5,0.0,4.8,Rural,60.9,1,0
Male,White,45,Masters,14.5,48.3,33.9,2.3,Urban,42.5,1,1
Male,Asian,30,Bachelors,5.9,16.4,10.6,2.3,Suburban,83.9,3,0
Female,White,27,Masters,8.1,86.4,59.9,2.5,Urban,55.2,1,0
Female,White,27,Masters,2.5,100.0,81.0,2.2,Urban,36.3,1,0
Male,White,22,Masters,19.5,91.1,65.6,2.4,Urban,75.9,1,1
Male,White,39,High School,10.4,74.8,50.5,2.8,Urban,95.7,2,1
Female,Hispanic,22,Masters,8.7,100.0,6.9,3.9,Urban,79.3,4,0
Female,White,22,Bachelors,1.0,24.0,20.7,2.6,Suburban,97.9,3,0
Male,Asian,22,Bachelors,1.8,80.8,11.1,1.6,Suburban,31.6,3,0
Male,Hispanic,34,High School,1.7,46.0,88.0,3.2,Suburban,38.8,3,0
Male,Black,33,Bachelors,1.6,72.9,75.1,1.0,Rural,61.4,1,0
Male,Hispanic,31,Masters,9.6,73.6,62.8,3.2,Rural,98.7,4,1
Male,White,24,Bachelors,0.2,57.4,22.5,2.4,Suburban,55.0,1,0
Male,Hispanic,23,Masters,0.4,56.1,39.0,2.9,Urban,41.9,3,0
Male,White,39,High School,1.9,81.3,50.3,3.3,Rural,46.9,2,0
Female,Asian,29,Bachelors,1.2,80.9,21.4,4.1,Rural,7.4,3,0
Male,Black,38,PhD,1.3,91.3,66.9,1.7,Suburban,88.6,3,0
Male,White,26,Masters,9.7,59.8,85.9,4.2,Suburban,73.5,1,1
Female,Asian,36,High School,4.3,90.5,92.3,1.9,Urban,34.1,3,0
Female,Asian,48,Bachelors,0.0,97.9,84.7,3.6,Suburban,43.7,4,0
Male,White,40,High School,3.4,75.4,32.3,1.0,Rural,59.4,2,0
Male,White,30,Bachelors,3.2,91.8,38.7,1.4,Suburban,93.1,1,1
Male,Asian,37,Masters,0.7,72.7,62.3,1.2,Suburban,64.9,3,0
Male,Asian,32,Masters,6.5,97.2,53.5,2.2,Urban,31.2,4,0
Male,Hispanic,35,High School,6.0,46.0,64.6,1.0,Urban,91.2,3,0
Male,Asian,31,PhD,7.4,100.0,20.2,3.3,Suburban,44.5,3,1
Male,Hispanic,33,Bachelors,6.5,57.4,7.7,2.2,Urban,36.5,3,0
Male,Asian,37,Bachelors,0.0,30.8,64.8,2.9,Suburban,72.8,4,0
Male,White,25,Bachelors,18.6,96.0,38.9,1.9,Suburban,15.2,1,1
Male,White,24,Masters,10.2,87.9,77.8,1.8,Urban,76.2,2,1
Male,Asian,22,Bachelors,13.5,74.4,73.6,2.4,Urban,39.9,3,1
Male,Asian,22,Bachelors,0.1,76.7,14.3,1.8,Rural,57.7,3,0
Male,White,22,Bachelors,16.4,76.9,30.3,1.4,Urban,61.5,1,1
Female,White,36,High School,9.1,71.0,41.5,5.0,Urban,41.7,1,0
Male,Hispanic,26,Masters,9.0,55.1,39.2,1.1,Suburban,24.2,3,0
Male,Black,40,Bachelors,0.5,54.4,35.2,3.4,Rural,57.9,1,0
Female,Black,35,High School,6.0,88.1,29.3,1.0,Rural,47.1,1,0
Male,Black,22,Masters,15.9,91.9,75.2,4.5,Suburban,91.3,1,1
Male,White,41,PhD,6.9,98.1,46.6,2.4,Urban,43.0,2,1
Male,White,43,PhD,5.1,100.0,80.1,4.2,Rural,100.0,2,1
Male,White,25,Bachelors,17.6,46.5,7.2,3.0,Suburban,100.0,3,1
Female,White,39,High School,3.2,82.2,81.7,1.5,Suburban,33.3,1,0
Male,Asian,26,Bachelors,5.3,55.0,19.0,2.1,Urban,67.6,3,0
Male,Black,35,High School,3.2,80.2,65.8,1.9,Urban,52.8,2,0
Male,Hispanic,22,PhD,13.4,60.8,92.2,1.1,Urban,25.5,3,0
Male,Hispanic,22,High School,0.4,89.8,29.8,1.0,Urban,53.4,4,0
Male,White,31,Bachelors,4.2,90.3,81.9,3.3,Urban,62.2,2,1
Male,Asian,33,Bachelors,6.7,100.0,26.7,1.0,Rural,43.7,3,0
Male,Black,31,Bachelors,7.8,41.5,44.5,1.4,Urban,51.4,1,0
Female,Hispanic,23,Masters,3.9,67.1,48.7,1.9,Urban,75.0,3,0
Male,White,31,Bachelors,14.5,97.2,88.1,3.3,Urban,21.9,1,1
Male,Asian,37,High School,16.4,81.3,0.5,1.4,Suburban,96.0,3,1
Male,Asian,34,Bachelors,0.4,83.2,31.6,2.0,Rural,67.2,3,0
Male,White,36,Bachelors,3.1,44.8,17.1,1.0,Suburban,71.9,1,0
Male,White,28,High School,0.1,43.6,36.0,1.0,Rural,30.1,1,0
Male,Asian,46,Masters,2.3,73.0,24.5,2.5,Rural,77.9,3,0
Male,Asian,23,Bachelors,4.4,68.3,25.9,4.0,Rural,79.2,4,1
Male,White,39,Masters,14.6,82.2,70.8,1.2,Urban,43.6,1,1
Male,Asian,46,PhD,10.8,60.9,33.6,1.1,Urban,50.6,3,0
Female,White,39,PhD,0.8,68.6,3.6,3.1,Urban,54.2,2,0
Male,Asian,32,PhD,0.6,54.6,23.3,2.0,Urban,78.6,3,0
