Gender,Race,Age,Education_Level,Experience_Years,Technical_Skills,University_Prestige,Location,Interview_Score,Salary_Expectation,Name_Complexity,Hiring_Decision
Female,White,35,Bachelors,7.8,80.4,2.2,Suburban,44.7,105661,2,1
Male,White,33,Bachelors,0.7,71.6,2.1,Rural,57.9,88728,1,1
Male,White,22,Bachelors,5.1,44.1,1.3,Suburban,86.9,83708,1,0
Female,Hispanic,27,Bachelors,8.4,35.7,2.9,Urban,65.4,73793,3,0
Male,White,25,Bachelors,11.1,69.2,4.9,Suburban,62.4,108564,1,1
Male,White,37,Masters,1.2,97.4,4.9,Rural,76.8,85008,2,1
Male,White,22,Masters,13.6,100.0,1.0,Suburban,63.5,111806,2,1
Female,Asian,32,High School,2.6,23.1,4.5,Rural,97.2,65887,3,0
Female,Asian,40,Masters,19.8,89.4,3.4,Rural,4.9,115454,4,1
Female,White,23,Masters,0.5,34.6,2.3,Rural,67.1,65685,1,0
Female,Black,47,High School,7.5,56.5,1.0,Suburban,67.1,79583,1,0
Female,Hispanic,34,Masters,1.3,50.2,1.8,Suburban,57.5,67331,4,0
Male,White,46,Bachelors,6.2,77.7,2.4,Urban,79.3,99898,2,1
Male,White,35,Bachelors,1.9,44.9,2.4,Rural,81.3,72444,3,1
Male,Black,50,PhD,2.1,48.7,1.2,Urban,80.2,74379,2,0
Female,Asian,38,High School,0.5,58.2,1.1,Urban,82.5,64685,3,0
Female,White,26,Masters,0.5,55.5,1.6,Suburban,84.6,74480,1,0
Male,White,36,Bachelors,0.9,54.5,5.0,Urban,81.2,81460,1,0
Female,White,35,High School,11.0,74.9,1.0,Suburban,54.2,92270,1,1
Female,White,30,Bachelors,5.0,98.1,3.0,Suburban,21.6,83912,2,0
Female,White,32,High School,7.0,60.4,2.2,Rural,78.4,84121,1,1
Female,Black,22,Masters,1.8,93.2,4.2,Suburban,51.3,91050,3,0
Female,Hispanic,22,Masters,8.2,39.7,1.0,Urban,39.2,79715,3,0
Female,White,30,Bachelors,2.2,73.7,2.5,Urban,81.0,80842,2,1
Male,Asian,37,Bachelors,0.9,34.7,1.5,Urban,78.5,56602,3,0
Male,White,39,Bachelors,0.1,85.7,2.2,Urban,34.9,85298,2,0
Female,Hispanic,38,High School,1.4,46.3,1.0,Rural,64.1,65078,4,0
Male,White,29,Bachelors,6.4,89.9,1.3,Urban,88.2,96947,2,1
Male,White,32,PhD,4.7,88.0,1.0,Urban,44.1,83011,2,0
Male,White,26,Masters,2.6,63.4,1.5,Suburban,73.0,78311,1,1
Female,Black,31,High School,3.7,14.2,4.3,Urban,55.3,65898,3,0
Male,White,34,Bachelors,1.7,32.4,3.1,Suburban,56.2,71145,1,0
Female,White,42,Bachelors,2.1,47.1,3.9,Urban,39.1,66932,2,0
Male,Black,28,PhD,1.2,54.7,2.8,Suburban,60.6,74099,2,0
Male,Black,25,Masters,2.5,44.3,1.7,Suburban,96.0,69996,2,0
Male,Black,38,Bachelors,6.4,72.3,1.8,Suburban,31.0,87281,1,0
Female,White,23,Bachelors,2.6,47.0,1.4,Rural,84.3,74568,1,0
Female,Hispanic,38,Masters,1.5,67.5,1.0,Urban,46.8,65796,3,0
Male,White,53,Bachelors,4.5,69.7,2.1,Urban,66.0,84615,2,1
Male,Black,41,Bachelors,3.4,66.4,1.6,Urban,27.3,79519,1,0
Male,Hispanic,40,High School,0.8,44.4,1.0,Suburban,93.6,61284,3,0
Female,Hispanic,45,High School,1.8,33.3,1.7,Urban,21.1,57568,3,0
Male,White,39,High School,0.1,69.3,2.6,Urban,97.0,76842,2,1
Female,White,35,Bachelors,2.8,94.6,4.2,Rural,98.0,85014,2,1
Female,Black,35,PhD,6.0,73.5,2.7,Rural,93.9,77770,1,0
Female,White,29,Masters,19.2,63.5,1.3,Urban,12.0,112434,1,1
Male,Asian,31,Bachelors,2.4,77.5,3.1,Suburban,44.7,77279,4,0
Female,Black,38,Masters,2.8,28.4,2.0,Suburban,41.8,66592,2,0
Female,Asian,25,Bachelors,2.0,48.5,1.4,Urban,77.1,73928,4,0
Female,White,44,PhD,3.8,100.0,3.3,Urban,75.1,89630,1,0
Female,White,27,Masters,1.5,88.9,3.7,Rural,14.0,79912,4,0
Female,Hispanic,49,Masters,0.8,65.1,1.0,Urban,38.5,74401,3,0
Male,Black,24,Bachelors,4.0,76.9,2.3,Suburban,73.4,91814,2,0
Female,Black,55,Bachelors,4.4,78.5,4.8,Suburban,0.0,81802,4,0
Female,White,46,Masters,2.2,52.0,1.6,Suburban,61.7,76487,1,0
Female,Hispanic,22,High School,1.9,63.5,3.3,Suburban,40.3,76055,4,0
Male,Hispanic,34,High School,11.3,91.4,1.0,Suburban,67.9,103066,3,1
Male,Asian,34,Masters,2.7,77.1,1.3,Suburban,70.1,85642,3,0
Male,White,35,Masters,2.8,94.8,2.3,Urban,57.2,88644,2,1
Male,White,44,Bachelors,2.3,30.2,1.0,Urban,65.7,74459,2,0
Female,Black,45,Bachelors,1.2,49.7,1.0,Rural,32.7,60808,1,0
Male,Asian,44,Bachelors,9.5,64.7,1.9,Urban,32.4,85840,3,1
Female,Hispanic,23,High School,4.0,46.4,3.7,Rural,36.4,70056,3,0
Male,Asian,40,Masters,2.4,64.1,1.9,Rural,53.9,75892,4,0
Female,Black,34,Masters,2.0,51.5,3.0,Urban,32.9,74726,2,0
Male,Asian,33,Bachelors,5.4,56.8,2.4,Urban,49.1,78238,3,0
Female,Asian,61,Masters,0.3,93.7,4.2,Urban,5.9,76655,3,0
Female,White,45,Masters,1.5,33.6,1.2,Rural,84.2,62164,1,0
Male,White,47,Bachelors,6.7,71.4,1.8,Urban,39.2,89990,3,0
Female,Black,35,PhD,1.1,98.7,2.2,Suburban,45.8,88907,1,0
Male,White,27,Bachelors,0.4,47.8,1.4,Urban,6.2,79391,2,0
Female,Hispanic,26,Masters,18.8,72.6,2.5,Urban,17.7,111468,3,0
Female,Black,32,Masters,5.1,75.4,2.4,Suburban,43.5,88164,2,0
Male,Black,47,Masters,1.2,75.5,5.0,Urban,89.8,76015,2,1
Male,Asian,32,Bachelors,4.3,60.9,3.8,Rural,64.6,71753,3,0
Male,Hispanic,22,High School,2.7,41.1,1.0,Urban,71.0,79026,3,0
Female,Asian,51,PhD,7.2,79.3,1.0,Urban,83.4,84335,3,0
Male,White,36,Masters,0.5,73.7,1.2,Urban,66.8,77333,1,0
Female,White,28,Bachelors,1.3,67.7,1.3,Suburban,66.6,70403,1,0
Female,White,24,Bachelors,2.7,51.8,1.0,Suburban,15.8,68929,1,0
Female,White,33,Masters,1.0,100.0,1.8,Rural,100.0,85886,1,0
Female,Black,22,PhD,4.0,50.7,2.1,Urban,46.9,72735,1,0
Male,Hispanic,46,PhD,7.2,88.9,1.4,Rural,67.6,93008,4,0
Female,White,43,Masters,1.2,96.2,1.3,Suburban,75.6,85598,2,0
Male,Black,34,PhD,6.4,45.0,2.8,Urban,52.0,84445,2,0
Male,Hispanic,24,Masters,4.0,82.7,1.0,Rural,71.3,91034,3,0
Male,White,22,High School,2.2,29.8,3.8,Suburban,95.6,72248,1,0
Female,White,22,High School,6.3,53.7,2.5,Rural,40.7,88175,1,0
Male,White,22,Bachelors,3.8,100.0,3.4,Urban,89.6,110044,2,1
Female,White,34,Masters,4.4,18.5,3.6,Urban,22.2,67714,1,0
Male,Hispanic,22,PhD,10.3,63.9,2.5,Suburban,68.0,93588,3,0
Female,Black,35,Bachelors,1.5,52.6,2.1,Suburban,23.4,65530,3,0
Female,Black,36,Bachelors,0.8,32.0,3.0,Urban,55.7,57914,1,0
Female,Black,26,Masters,2.1,62.7,2.2,Urban,58.4,70615,2,0
Male,Asian,50,Bachelors,0.4,62.3,1.4,Urban,84.4,84112,3,0
Female,White,34,PhD,0.6,62.8,3.3,Suburban,51.8,76393,2,0
Female,White,32,Masters,10.7,56.6,3.8,Urban,36.6,90060,1,1
Male,Black,45,Masters,1.7,56.5,2.2,Urban,53.1,76765,3,0
Male,White,45,Masters,6.1,100.0,1.2,Urban,70.7,91005,1,1
Female,Black,30,Masters,1.1,52.0,1.0,Urban,15.7,65828,1,0
Female,White,22,PhD,1.2,82.9,3.7,Urban,49.8,86430,1,0
Female,White,44,Masters,5.6,35.2,4.1,Urban,35.1,71128,1,0
Male,Black,22,High School,5.4,54.1,3.2,Urban,3.7,77277,1,0
Female,Black,26,Bachelors,1.8,30.8,5.0,Rural,50.9,62053,2,0
Male,Black,30,Masters,16.9,64.7,1.1,Urban,49.6,100552,4,0
Female,Hispanic,29,PhD,9.5,78.6,1.0,Rural,99.5,89467,3,0
Male,Black,28,PhD,0.9,98.6,1.6,Urban,60.0,85416,1,0
Female,White,52,Bachelors,0.9,38.3,2.2,Suburban,49.4,66939,4,0
Female,Asian,22,High School,3.3,64.0,1.9,Urban,43.5,72011,3,0
Male,Asian,44,Bachelors,0.4,72.4,1.2,Urban,49.9,79450,4,0
Female,Asian,27,Masters,0.0,95.7,2.6,Urban,56.3,77265,3,0
Male,White,43,Masters,8.8,89.9,1.0,Urban,48.0,103020,3,1
Male,White,53,High School,5.8,70.2,2.4,Urban,30.2,92943,3,0
Female,Black,22,High School,2.7,34.1,1.2,Urban,2.6,64392,2,0
Male,Hispanic,40,PhD,3.0,73.3,5.0,Urban,42.8,80385,3,0
Male,Black,36,High School,1.6,47.4,2.1,Rural,41.4,70937,1,0
Female,Asian,41,PhD,16.0,76.9,3.0,Urban,63.3,102646,3,1
Female,Asian,48,High School,3.9,63.6,1.8,Urban,75.4,75057,3,0
Male,Hispanic,26,Masters,5.2,55.2,3.0,Urban,47.1,84701,3,0
Male,White,22,Bachelors,4.4,68.8,5.0,Urban,74.5,86314,1,1
Male,White,43,Bachelors,23.0,87.5,2.0,Suburban,72.7,132829,1,1
Female,Asian,22,Bachelors,8.6,75.1,3.0,Rural,77.1,88364,3,1
Male,Hispanic,44,High School,2.2,69.1,1.0,Urban,48.6,85294,4,0
Female,White,34,Bachelors,3.8,100.0,1.1,Urban,57.0,88740,2,0
Female,Black,38,Bachelors,8.3,62.6,1.0,Suburban,15.9,80800,2,0
Female,White,33,Masters,0.3,34.2,2.2,Urban,65.2,66983,1,0
Male,White,22,Bachelors,13.4,81.8,1.4,Urban,100.0,109548,2,1
Male,White,32,High School,8.5,62.7,2.7,Urban,66.7,92896,1,1
Female,Black,57,Masters,3.4,100.0,4.4,Suburban,52.3,92782,2,0
Female,White,32,Masters,6.2,83.7,1.1,Suburban,7.2,98081,1,0
Male,White,37,Bachelors,2.1,42.1,2.9,Urban,64.6,74894,2,0
Male,Hispanic,42,High School,4.2,80.1,3.4,Urban,35.4,87560,4,0
Female,Hispanic,33,Masters,3.1,96.4,2.1,Rural,37.7,80828,3,0
Female,Black,46,PhD,9.8,73.9,1.1,Suburban,23.0,94847,1,0
Male,White,22,Bachelors,0.9,93.3,1.3,Urban,30.8,85161,2,0
Male,Hispanic,30,Bachelors,10.7,70.0,2.3,Urban,50.7,99145,3,0
Male,Hispanic,35,Bachelors,1.0,21.9,2.2,Urban,46.4,58089,3,0
Female,White,29,Masters,3.1,69.1,2.2,Suburban,62.0,84623,2,0
Male,White,38,Masters,2.8,41.8,3.2,Urban,61.7,81680,1,0
Female,White,32,High School,8.8,39.6,4.1,Suburban,30.3,77024,2,0
Male,Black,42,PhD,0.5,47.7,2.7,Urban,51.3,64289,1,0
Male,Hispanic,28,Bachelors,0.4,40.3,4.6,Urban,56.3,62464,4,0
Female,White,39,Bachelors,2.5,80.9,2.3,Suburban,90.1,78655,3,1
Female,White,45,Bachelors,1.7,24.4,2.2,Urban,72.1,66955,2,0
Female,White,26,Bachelors,7.2,88.0,3.5,Urban,22.0,92026,1,0
Male,White,34,High School,1.0,86.6,5.0,Urban,91.9,81974,2,1
Male,Hispanic,34,Masters,10.4,53.7,3.9,Urban,77.4,89041,4,1
Female,Hispanic,65,Bachelors,5.7,96.3,1.8,Urban,26.9,93660,4,0
Male,White,38,Masters,0.1,100.0,1.6,Suburban,83.8,100652,1,1
Female,Hispanic,34,Bachelors,9.6,29.7,2.9,Rural,58.2,67208,4,0
Male,Asian,49,PhD,1.8,90.4,2.6,Rural,51.4,85829,4,1
Female,Hispanic,36,Masters,7.3,75.5,3.2,Urban,28.0,89857,3,0
Female,Hispanic,22,Masters,3.9,73.5,5.0,Suburban,22.3,76270,3,0
Male,White,41,Masters,1.1,91.1,1.8,Urban,92.2,97330,1,1
Male,Hispanic,42,Bachelors,0.6,74.6,1.0,Suburban,24.7,77928,3,0
Female,White,51,Masters,2.7,78.6,3.5,Urban,48.6,81923,1,0
Female,Black,22,Bachelors,3.5,77.2,1.0,Suburban,63.2,76937,1,0
Female,White,42,Bachelors,1.1,97.5,1.0,Urban,63.6,77922,3,0
Male,Black,22,Bachelors,1.1,80.2,1.0,Urban,40.9,83283,2,0
Male,White,25,Masters,1.0,59.2,2.3,Suburban,98.6,75325,1,1
Male,Asian,23,High School,0.5,66.0,3.0,Suburban,56.8,66660,3,0
Male,Black,55,Masters,1.2,64.0,3.1,Urban,43.5,81111,3,0
Male,White,35,High School,1.2,76.1,1.7,Urban,31.0,87573,1,0
Female,White,49,High School,2.1,82.0,1.3,Urban,40.5,79455,1,0
Female,Black,49,Bachelors,18.6,76.7,4.3,Suburban,76.3,114106,1,1
Male,White,22,High School,1.3,95.9,3.8,Urban,30.8,80710,1,1
Female,White,38,Masters,9.6,63.5,3.1,Suburban,46.8,96119,1,1
Female,Hispanic,41,High School,10.4,90.3,1.0,Urban,57.8,108496,3,0
Male,Black,41,High School,1.8,46.8,4.0,Rural,32.4,67955,2,0
Female,Asian,30,PhD,10.9,70.6,2.7,Suburban,7.2,83471,3,0
Male,Asian,38,PhD,0.7,100.0,4.4,Urban,73.8,83828,4,1
Female,Hispanic,33,High School,14.6,53.8,1.5,Suburban,92.9,103719,3,0
Male,Asian,34,Masters,1.3,78.6,3.3,Urban,30.3,84883,3,0
Male,Asian,38,Masters,2.7,54.5,1.9,Urban,19.3,79961,3,0
Female,White,43,High School,14.5,77.5,5.0,Urban,87.3,107162,1,1
Male,Hispanic,22,PhD,1.7,72.2,3.4,Suburban,38.8,83014,3,0
Male,Black,25,Bachelors,1.4,72.6,1.0,Rural,56.3,77972,1,0
Male,White,39,High School,1.6,74.9,2.7,Suburban,66.5,90437,2,1
Female,White,28,Bachelors,2.6,58.2,1.9,Urban,16.9,75762,1,0
Female,Asian,42,Bachelors,1.9,79.6,1.3,Urban,48.1,85584,3,0
Female,Black,43,Masters,13.0,80.0,2.7,Suburban,31.7,101254,1,0
Female,Hispanic,33,PhD,14.8,92.3,3.0,Suburban,50.6,99523,3,0
Female,Black,43,Masters,3.2,89.4,1.0,Urban,83.5,88516,1,0
Female,Asian,35,Bachelors,0.0,90.0,3.8,Urban,58.2,77177,3,0
Female,White,29,Bachelors,0.1,62.8,3.4,Urban,12.0,74320,4,0
Male,White,32,High School,5.8,94.9,2.3,Urban,65.0,96538,1,1
Female,Black,39,Bachelors,8.5,61.2,3.0,Rural,54.5,88219,3,0
Female,Hispanic,34,Masters,1.8,57.2,3.7,Rural,31.9,82161,3,0
Male,Black,40,High School,8.0,73.2,1.7,Urban,49.4,99691,4,0
Female,White,41,Bachelors,8.8,40.6,3.9,Suburban,77.8,81665,1,0
Female,White,28,Masters,5.4,84.5,4.7,Urban,45.6,89760,2,1
Female,White,31,Bachelors,3.6,66.8,4.2,Suburban,36.3,75567,4,0
Male,White,38,Bachelors,0.3,34.1,1.3,Urban,46.0,70193,1,0
Female,White,29,High School,0.5,22.6,1.9,Rural,61.1,56992,1,0
Male,Hispanic,48,Bachelors,2.1,78.4,4.1,Urban,100.0,80771,3,0
Male,Black,34,High School,4.3,59.5,2.8,Rural,25.5,82922,1,0
Male,Black,30,PhD,3.3,43.7,1.0,Urban,24.1,77617,1,0
Male,Black,22,Bachelors,17.0,54.8,1.0,Urban,73.3,113034,1,0
Female,Hispanic,61,High School,1.2,81.0,2.1,Urban,16.9,73602,3,0
Male,Black,30,PhD,0.9,96.2,3.9,Urban,62.0,86516,2,0
Male,Black,22,Masters,11.6,37.6,1.1,Suburban,41.3,92357,1,0
Male,White,37,High School,3.6,26.5,5.0,Urban,48.4,63383,3,1
Male,Asian,48,High School,1.8,88.7,1.0,Rural,52.2,72192,3,0
Female,White,40,Masters,2.1,100.0,1.9,Suburban,34.6,90575,1,0
Male,Asian,36,PhD,13.9,83.7,3.7,Rural,38.8,109117,4,1
Female,White,39,Masters,2.1,36.3,1.4,Suburban,69.8,59513,1,0
Male,White,43,Bachelors,1.0,40.0,3.1,Rural,63.3,68527,1,0
Female,Asian,29,Bachelors,10.7,84.1,1.9,Rural,30.6,101031,3,0
Male,White,26,Bachelors,10.4,100.0,2.2,Urban,15.2,112740,1,1
Female,Hispanic,28,Bachelors,11.5,53.3,1.0,Suburban,27.3,89253,3,0
Female,Hispanic,34,Bachelors,0.1,90.4,1.9,Rural,34.8,80723,3,0
Female,Hispanic,33,Masters,5.5,46.7,2.1,Rural,45.8,80360,3,0
Male,White,50,Masters,0.6,87.9,2.1,Suburban,74.7,89361,2,1
Female,Asian,28,Masters,1.9,46.1,1.3,Suburban,72.7,68736,3,0
Male,White,22,Masters,3.1,91.3,3.2,Urban,50.9,90824,2,1
Female,Hispanic,45,Bachelors,1.7,71.1,2.6,Urban,38.1,75009,3,0
Male,White,22,Masters,4.8,68.9,1.5,Urban,56.2,92038,1,1
Male,Asian,32,Bachelors,3.1,62.4,3.1,Suburban,54.3,78015,3,1
Male,White,39,Bachelors,6.5,48.1,4.2,Suburban,61.1,80590,2,1
Female,White,23,Bachelors,8.9,71.4,3.9,Urban,92.6,95317,2,1
Female,Asian,26,Masters,0.2,45.3,2.2,Suburban,44.7,66965,4,0
Male,White,27,High School,0.4,33.8,4.3,Rural,64.4,69935,1,1
Male,Hispanic,22,Bachelors,0.3,81.9,4.0,Suburban,94.1,91231,3,0
Male,Asian,28,High School,3.3,73.6,3.6,Urban,42.5,79871,3,0
Female,White,47,Masters,4.4,95.0,4.1,Urban,75.0,89851,4,1
Female,Asian,44,Bachelors,3.5,70.2,2.3,Urban,47.9,80370,3,0
Male,Asian,33,Bachelors,0.9,60.9,3.3,Suburban,38.1,69818,3,0
Male,Black,22,Bachelors,8.5,59.1,1.8,Suburban,52.2,91685,3,0
Female,Hispanic,31,High School,2.8,33.7,2.7,Suburban,90.2,62118,3,0
Male,Black,40,Bachelors,2.2,71.1,1.7,Urban,30.1,83669,4,0
Male,Black,37,Masters,8.6,63.4,1.6,Suburban,99.4,91927,1,1
Female,Asian,50,Masters,7.3,48.8,2.2,Urban,32.0,79635,3,0
Male,Asian,22,High School,7.3,32.5,1.3,Urban,31.3,73288,3,0
Male,White,42,High School,22.7,42.8,2.1,Rural,54.7,119630,2,1
Male,White,22,Bachelors,0.0,79.4,1.3,Rural,51.5,80852,1,0
Female,White,25,Masters,1.4,93.2,3.3,Urban,72.6,78901,1,1
Male,Asian,44,Bachelors,0.4,72.6,3.2,Suburban,67.5,84387,3,0
Male,Asian,59,Bachelors,4.5,47.4,1.1,Suburban,49.1,71246,3,0
Female,White,22,Masters,3.1,49.2,2.1,Urban,57.0,75921,1,0
Female,Asian,49,Masters,9.6,53.5,4.3,Urban,49.5,78651,3,0
Female,Hispanic,30,High School,0.3,46.7,1.8,Urban,5.9,67187,3,0
Male,Black,45,High School,3.8,49.6,2.8,Urban,16.8,76375,1,0
Female,Asian,22,Masters,3.0,89.3,1.1,Rural,55.1,81884,3,0
Male,White,39,High School,1.8,83.5,2.2,Suburban,85.0,78995,1,1
Female,Hispanic,43,Bachelors,0.7,68.9,3.9,Urban,24.5,63916,3,0
Female,White,46,Masters,6.3,46.7,1.9,Urban,49.1,76899,2,0
Female,Asian,36,Masters,3.4,78.4,2.2,Urban,33.2,75760,3,0
Male,Black,28,Masters,0.2,61.7,1.8,Urban,43.0,62028,2,0
Male,White,33,Bachelors,9.4,100.0,3.4,Urban,47.7,105638,3,1
Male,Hispanic,49,Masters,14.3,93.7,1.0,Urban,52.4,98462,3,1
Male,Asian,46,Bachelors,8.4,53.6,4.3,Rural,95.3,86088,4,1
Male,White,35,High School,0.3,40.1,3.0,Rural,67.4,63061,1,0
Male,White,40,Bachelors,8.0,83.0,4.5,Urban,73.7,100723,1,1
Male,Asian,46,PhD,5.1,70.6,1.0,Urban,41.4,90193,3,0
Female,Black,34,Masters,1.7,60.2,2.2,Urban,38.7,66952,1,0
Female,White,32,Bachelors,10.9,77.1,4.5,Urban,36.3,101519,1,1
Male,Hispanic,43,High School,0.7,56.4,1.0,Urban,42.5,78093,4,0
Male,Black,27,High School,3.6,77.2,1.9,Urban,31.3,83924,1,0
Female,Asian,46,Bachelors,3.4,90.5,1.0,Rural,73.1,81936,4,0
Female,Asian,28,High School,3.9,37.8,2.1,Urban,10.6,59792,3,0
Male,White,49,Masters,12.3,50.6,1.0,Urban,79.7,104847,1,1
Male,Asian,30,High School,5.2,89.5,4.3,Suburban,85.0,89254,3,1
Male,Hispanic,28,High School,3.3,66.2,1.0,Urban,76.6,77331,4,0
Female,White,38,Masters,3.4,47.6,4.6,Suburban,65.5,76170,1,0
Female,Hispanic,23,High School,7.1,32.8,1.0,Urban,47.2,79618,3,0
Female,Hispanic,43,Bachelors,4.8,72.0,1.0,Rural,39.5,78382,4,0
Male,Black,37,Masters,2.2,79.0,4.7,Urban,65.9,79555,1,0
Male,Asian,28,High School,9.3,52.7,1.0,Urban,80.7,89437,3,0
Male,Black,25,High School,1.1,34.4,2.9,Suburban,69.8,72698,2,0
Female,Asian,28,Masters,12.9,92.3,4.9,Urban,6.2,102712,3,0
Male,White,45,Masters,9.1,51.0,2.2,Urban,49.6,84868,1,0
Female,Black,39,Bachelors,2.0,40.3,1.0,Suburban,26.3,61268,1,0
Female,Hispanic,40,Masters,0.1,70.0,1.0,Urban,48.5,73487,3,0
Female,White,22,High School,3.8,53.0,3.2,Urban,53.9,73868,1,0
Female,Black,45,High School,5.1,53.7,1.0,Urban,64.0,69288,2,0
Male,Hispanic,22,Bachelors,4.1,83.7,2.8,Suburban,34.0,92419,4,0
Male,White,43,High School,10.4,61.2,2.4,Suburban,43.5,101526,3,1
Female,Black,22,Masters,6.5,74.8,3.8,Suburban,23.8,84838,1,0
Male,Hispanic,36,Masters,2.0,71.6,2.8,Urban,97.6,82675,4,0
Male,Hispanic,47,Bachelors,2.1,71.9,1.0,Urban,100.0,91319,3,0
Male,White,35,Masters,0.1,34.6,4.4,Rural,48.9,67370,2,0
Male,Hispanic,51,PhD,4.6,81.7,1.0,Suburban,51.8,89683,3,0
Male,Black,34,Bachelors,10.2,88.2,2.1,Urban,37.0,99799,1,1
Male,Black,48,High School,0.4,95.4,1.6,Urban,54.2,77318,1,0
Female,Asian,32,Bachelors,25.0,81.2,3.1,Urban,39.2,131506,4,1
Male,White,35,Bachelors,0.3,95.8,2.3,Urban,100.0,80337,1,1
Female,Hispanic,22,High School,3.0,81.5,1.3,Suburban,47.7,80436,3,0
Female,White,40,High School,1.9,48.3,2.6,Rural,100.0,66937,2,0
Female,White,32,Masters,2.7,96.6,2.0,Suburban,49.8,84775,4,0
Male,Asian,42,High School,5.2,60.5,1.1,Suburban,50.0,86308,3,0
Female,Black,40,Masters,1.3,76.6,1.0,Urban,34.5,71001,1,0
Male,White,44,High School,3.3,72.3,3.2,Suburban,80.9,83324,1,1
Male,Black,41,Bachelors,5.4,45.0,1.0,Rural,7.5,70345,1,0
Female,Hispanic,41,High School,0.4,73.5,1.0,Urban,10.3,73232,4,0
Female,Hispanic,26,Masters,5.3,71.1,1.9,Urban,58.5,77648,3,0
Female,White,27,High School,0.6,33.9,3.4,Suburban,36.8,67974,3,0
Female,Black,53,Bachelors,1.6,77.6,1.0,Suburban,2.8,80424,1,0
Male,White,52,Masters,20.7,97.3,1.1,Urban,78.6,127923,1,1
Female,White,22,Bachelors,5.3,54.9,4.0,Suburban,51.3,78794,2,0
Female,Black,30,Bachelors,2.1,54.9,1.0,Urban,13.7,68683,1,0
Female,White,28,Bachelors,6.8,83.3,3.6,Suburban,32.9,83797,1,0
Female,Asian,38,Masters,6.2,76.0,4.3,Urban,32.4,82757,3,0
Male,Asian,34,Masters,4.8,69.1,4.4,Urban,35.8,86342,3,0
Male,White,35,High School,2.8,32.9,3.6,Suburban,70.5,74810,1,0
Female,White,56,Bachelors,7.4,50.9,1.7,Urban,92.2,71137,2,1
Male,White,22,Masters,0.6,79.8,2.5,Rural,94.5,85340,1,1
Female,Hispanic,29,PhD,0.3,59.9,2.3,Rural,43.5,70627,4,0
Female,Asian,30,Bachelors,1.8,76.0,2.0,Urban,51.3,75325,4,0
Female,Black,45,Masters,4.9,69.2,1.1,Urban,12.7,79983,3,0
Male,White,32,PhD,1.3,91.6,1.2,Rural,40.0,84926,2,0
Female,White,42,Masters,8.0,62.7,1.4,Urban,63.6,78428,2,0
Female,White,34,Bachelors,6.4,90.1,5.0,Urban,49.7,88831,1,1
Female,Black,56,Masters,5.6,77.2,1.0,Urban,52.4,86297,1,0
Male,Hispanic,27,High School,6.0,37.1,4.7,Rural,81.9,77476,4,0
Female,White,22,High School,10.5,35.2,2.6,Suburban,63.1,86143,1,0
Female,Hispanic,43,Bachelors,5.6,46.8,2.7,Urban,80.9,69945,3,0
Male,Black,37,Masters,9.9,94.0,3.3,Rural,64.8,100857,1,1
Male,Asian,31,Bachelors,0.5,73.3,1.0,Urban,81.8,74857,3,0
Male,White,22,Bachelors,1.3,81.3,1.1,Rural,100.0,80892,4,1
Female,White,33,High School,3.3,54.4,4.8,Urban,30.9,83858,1,0
Male,Black,41,High School,7.7,91.1,1.1,Urban,28.5,98091,1,0
Male,Asian,32,Masters,1.8,44.8,3.8,Urban,71.9,71430,3,0
Male,White,56,Masters,7.1,43.7,2.7,Suburban,48.8,84625,1,0
Male,White,49,High School,8.5,57.4,1.5,Suburban,57.9,89400,4,1
Female,White,41,Bachelors,0.6,68.4,2.6,Rural,23.9,79321,1,0
Male,White,22,PhD,10.7,79.5,1.8,Urban,100.0,98747,1,1
Female,White,47,Bachelors,8.9,41.1,1.3,Urban,57.9,82128,1,0
Female,White,25,Masters,1.5,89.2,3.3,Urban,66.2,84195,1,0
Male,White,48,High School,2.4,66.7,3.5,Urban,71.8,86249,3,1
Male,Asian,42,PhD,1.6,43.5,2.5,Suburban,70.4,63875,4,0
Female,Hispanic,29,Bachelors,1.1,65.7,3.8,Urban,41.5,66601,3,0
Female,Asian,53,High School,6.5,50.7,1.8,Rural,17.9,72951,3,0
Male,Asian,25,Masters,18.8,97.6,1.5,Urban,53.3,121988,3,1
Male,White,34,Bachelors,5.9,75.3,1.1,Rural,89.8,86592,2,1
Male,Asian,35,Masters,5.4,87.4,1.7,Suburban,98.4,94233,3,1
Female,Black,27,Bachelors,4.4,8.1,1.1,Urban,66.6,59137,1,0
Female,Asian,44,Bachelors,5.4,92.8,1.9,Rural,15.7,84536,3,0
Female,Black,36,High School,1.6,83.3,1.0,Urban,60.2,78203,1,0
Female,White,27,High School,0.8,95.1,1.1,Urban,36.1,70055,1,0
Female,White,41,Masters,2.3,69.3,5.0,Rural,27.9,72593,2,0
Female,White,22,Bachelors,2.4,57.2,2.4,Urban,53.8,76016,1,0
Male,Black,39,High School,6.6,82.1,5.0,Urban,73.5,93202,1,1
Female,Hispanic,27,Masters,2.6,28.6,1.9,Suburban,45.9,60288,3,0
Male,White,50,Bachelors,8.9,29.4,2.1,Urban,32.4,86708,1,0
Male,Hispanic,38,High School,4.2,56.8,1.8,Urban,64.6,69146,3,0
Male,White,22,Masters,0.2,69.5,1.0,Suburban,41.7,74824,1,0
Female,Black,47,PhD,2.1,89.8,3.2,Urban,54.3,90895,1,0
