Gender,Race,Age,Education_Level,Experience_Years,Technical_Skills,Communication_Score,University_Prestige,Location,Salary_Expectation,Name_Complexity,Hiring_Decision
Male,Black,47,PhD,1.1,100.0,52.6,3.7,Suburban,81474,2,1
Female,Asian,37,High School,2.8,77.3,57.2,4.0,Suburban,82941,3,0
Male,White,36,High School,1.6,89.3,60.3,5.0,Rural,92265,1,1
Male,White,40,PhD,2.3,100.0,24.3,2.5,Suburban,93636,1,0
Female,Hispanic,44,High School,8.8,65.5,44.5,2.0,Urban,90212,3,0
Male,White,41,Bachelors,7.6,75.1,74.3,2.5,Urban,99415,1,1
Male,White,24,Bachelors,9.4,72.6,49.4,2.4,Rural,95695,1,1
Male,Hispanic,40,Masters,19.8,89.6,92.3,1.0,Suburban,114681,4,1
Male,White,40,Bachelors,1.9,54.9,50.8,2.7,Rural,75455,1,0
Male,White,32,Masters,2.8,68.2,53.1,2.3,Suburban,86260,4,0
Female,White,32,PhD,3.6,85.6,52.3,3.7,Urban,90315,2,1
Female,Asian,37,Masters,7.5,100.0,46.6,2.8,Urban,100909,3,0
Female,Asian,27,Bachelors,25.0,69.0,30.9,2.7,Suburban,121384,3,1
Female,Hispanic,26,High School,7.8,31.3,45.2,1.9,Suburban,71859,3,0
Male,White,44,Masters,1.0,52.2,56.7,1.0,Suburban,70246,1,1
Male,White,57,Masters,4.1,88.3,77.5,3.4,Suburban,87150,3,1
Female,Hispanic,42,Masters,0.2,89.1,74.8,1.8,Rural,74944,4,0
Female,Black,28,Bachelors,3.4,30.7,52.5,4.3,Urban,77890,3,0
Female,Hispanic,23,High School,5.2,40.3,58.9,1.5,Urban,71097,4,0
Female,Black,31,High School,1.2,47.6,79.4,1.0,Urban,72987,1,0
Male,White,34,PhD,5.4,100.0,30.9,2.5,Suburban,99843,1,1
Female,Black,31,Bachelors,4.7,61.3,29.4,1.4,Urban,77192,2,0
Male,White,41,PhD,0.1,46.0,57.1,2.7,Urban,67035,1,0
Male,White,23,Masters,5.7,80.2,36.4,3.5,Urban,92912,1,0
Male,Asian,45,Bachelors,20.0,32.3,58.6,3.9,Urban,98436,3,1
Male,White,44,Bachelors,12.1,93.3,40.0,4.2,Urban,110741,1,1
Male,Black,31,PhD,1.1,79.5,41.4,1.8,Urban,78424,1,0
Female,Asian,34,High School,2.8,100.0,35.7,2.1,Urban,90593,4,0
Male,Asian,33,Masters,5.0,87.7,45.8,5.0,Rural,95620,3,1
Male,White,34,Bachelors,0.1,62.6,39.1,3.3,Rural,74597,1,0
Female,Hispanic,24,High School,4.2,69.7,64.3,3.8,Suburban,73183,3,0
Male,Asian,38,Bachelors,4.2,85.4,0.0,1.0,Suburban,83989,3,0
Female,Asian,33,PhD,11.1,55.4,0.0,2.8,Suburban,81475,3,0
Male,White,34,PhD,0.2,92.6,18.3,1.5,Suburban,76638,1,1
Female,Black,23,High School,0.9,61.3,100.0,1.8,Suburban,76609,4,0
Female,White,48,PhD,6.1,66.2,38.1,1.0,Suburban,91071,2,0
Male,White,28,PhD,1.4,100.0,48.0,2.5,Urban,82951,2,1
Female,Asian,37,High School,1.1,92.8,37.2,4.1,Urban,90745,3,0
Female,Black,38,High School,1.5,29.0,42.3,1.9,Urban,70268,1,0
Male,Asian,35,Bachelors,2.4,94.5,0.0,2.0,Suburban,87921,3,1
Female,White,56,Bachelors,0.6,72.1,27.9,2.2,Urban,76839,1,0
Female,White,45,Bachelors,2.6,37.3,100.0,4.3,Urban,68632,3,0
Male,Hispanic,22,Bachelors,2.3,71.8,51.1,1.0,Rural,79987,4,0
Female,White,27,Masters,3.5,70.8,72.0,4.5,Suburban,81843,2,1
Male,Black,28,High School,1.8,46.1,18.6,2.8,Urban,59272,1,0
Male,White,41,High School,1.5,99.7,64.7,3.6,Suburban,103645,1,1
Female,White,41,Bachelors,2.4,49.8,54.1,1.9,Urban,69695,2,0
Female,Asian,28,PhD,14.1,85.5,54.4,2.5,Suburban,111113,3,1
Female,Asian,35,Bachelors,3.0,68.6,81.6,3.2,Urban,75098,3,0
Female,Asian,30,High School,4.2,78.6,50.5,1.1,Rural,83886,3,0
Male,Black,31,High School,2.5,77.8,48.5,1.8,Urban,82213,1,0
Male,Hispanic,29,High School,14.1,63.4,42.8,1.1,Suburban,113777,4,0
Male,White,24,Bachelors,7.4,79.2,29.4,2.1,Suburban,103505,1,0
Male,White,26,High School,6.9,83.1,52.4,2.0,Rural,89647,3,1
Male,Asian,22,High School,8.7,79.4,55.7,1.6,Urban,93236,3,1
Male,White,51,Masters,21.9,76.0,52.7,2.1,Suburban,127496,2,1
Female,Hispanic,29,High School,13.6,81.5,72.9,1.0,Urban,93397,3,1
Female,White,22,Bachelors,1.6,77.9,73.6,3.3,Suburban,82303,3,0
Male,Hispanic,45,Masters,1.3,39.9,51.0,1.7,Urban,63930,3,0
Male,White,22,High School,1.2,76.9,41.0,4.3,Urban,88878,1,1
Female,Hispanic,36,Bachelors,0.4,41.0,46.3,2.4,Urban,56667,3,0
Female,Asian,32,PhD,3.4,82.2,26.4,2.4,Urban,78656,3,0
Male,Black,29,Masters,15.6,47.3,72.0,1.2,Urban,98834,1,1
Female,White,31,Masters,4.3,66.4,51.1,2.1,Suburban,88003,1,0
Male,White,37,Bachelors,0.7,75.5,44.2,1.0,Urban,80088,1,1
Male,White,28,Masters,14.2,69.2,81.4,2.5,Suburban,97750,4,1
Female,White,30,High School,5.0,23.3,54.5,3.7,Rural,68435,2,0
Female,White,37,Bachelors,0.6,54.4,16.3,1.5,Suburban,68274,1,0
Female,White,42,High School,2.3,84.1,77.7,2.9,Suburban,81867,1,0
Male,Black,37,High School,0.3,21.3,100.0,3.5,Urban,65120,2,0
Male,Black,38,Bachelors,2.0,46.3,44.9,2.4,Suburban,72912,1,0
Male,White,22,PhD,1.6,100.0,91.0,1.5,Suburban,78052,1,1
Female,Hispanic,33,Bachelors,7.8,74.4,68.4,1.8,Urban,81655,4,0
Male,Asian,29,High School,3.7,85.1,71.1,2.8,Urban,92669,3,0
Female,Black,22,High School,5.1,82.2,76.4,1.8,Rural,74706,2,0
Female,Hispanic,53,High School,1.8,26.8,62.7,2.0,Urban,61183,4,0
Male,Hispanic,42,Bachelors,0.5,39.2,1.6,1.3,Suburban,78485,3,0
Female,Hispanic,36,Bachelors,3.3,50.9,39.9,1.0,Urban,74553,4,0
Female,Hispanic,51,Masters,4.2,73.1,37.4,1.5,Rural,89294,3,0
Male,Asian,23,Masters,2.2,60.8,3.1,1.3,Rural,83791,4,0
Female,Black,39,Masters,9.9,32.6,31.3,4.5,Suburban,77503,1,0
Male,Asian,35,High School,2.2,91.5,49.5,4.5,Urban,89289,3,1
Male,Black,30,High School,1.9,81.6,95.4,1.2,Suburban,75745,1,1
Male,Black,22,High School,0.1,85.7,29.3,5.0,Suburban,77337,1,0
Female,White,25,Bachelors,0.4,65.0,42.8,2.2,Suburban,71513,1,0
Female,White,32,High School,14.7,28.2,39.0,1.9,Suburban,93267,3,0
Male,Black,38,Bachelors,0.8,69.5,61.2,3.2,Urban,83742,1,0
Male,Black,32,High School,9.2,82.6,28.9,2.0,Rural,99828,2,1
Male,Asian,33,PhD,1.6,54.5,78.6,2.3,Urban,57393,4,0
Female,White,48,High School,2.2,69.4,54.5,2.0,Urban,79360,1,0
Female,White,32,High School,1.5,87.2,15.4,3.0,Suburban,84677,3,0
Male,White,49,High School,6.3,53.5,9.4,4.4,Suburban,96639,2,0
Female,White,33,High School,3.5,73.5,17.7,4.2,Urban,71964,1,0
Male,White,45,High School,0.1,70.1,15.5,1.5,Suburban,77451,1,0
Male,Black,39,High School,0.7,47.9,70.4,1.0,Suburban,78001,3,0
Male,Asian,44,Bachelors,2.1,39.4,62.4,1.8,Urban,74613,4,0
Male,Asian,42,High School,8.0,90.3,45.5,1.5,Suburban,95442,3,1
Male,Asian,42,High School,1.2,42.8,52.6,1.6,Rural,69808,3,0
Female,Asian,26,Bachelors,13.9,88.9,59.4,1.0,Urban,101900,4,1
Female,White,29,High School,0.7,75.4,21.4,3.6,Suburban,83146,1,0
Male,Black,23,High School,1.5,65.6,61.0,3.6,Suburban,75900,1,0
Male,White,38,High School,10.1,34.9,81.5,4.7,Rural,85220,1,1
Female,Hispanic,29,Bachelors,4.5,86.3,45.3,2.8,Rural,86007,3,0
Female,Black,26,High School,1.3,42.5,53.2,1.9,Urban,63987,1,0
Female,Hispanic,34,PhD,1.6,51.3,64.7,1.0,Suburban,71439,3,0
Female,Hispanic,30,Masters,6.9,13.6,57.4,2.4,Suburban,62847,3,0
Male,Asian,38,Masters,2.6,62.2,52.1,3.2,Suburban,82995,4,1
Male,Hispanic,34,PhD,0.7,56.7,49.8,2.0,Suburban,81925,3,0
Female,Black,44,High School,5.2,29.0,79.5,2.1,Suburban,61476,1,0
Male,White,35,High School,3.3,77.7,92.5,1.3,Suburban,81123,1,1
Female,Asian,32,PhD,9.4,100.0,48.8,3.3,Suburban,103043,3,1
Female,Hispanic,22,Masters,3.3,100.0,31.8,1.4,Suburban,98654,4,0
Female,Hispanic,38,High School,3.1,69.1,12.7,4.2,Urban,76304,4,0
Male,Asian,32,Masters,4.4,98.6,69.7,3.1,Urban,88280,4,1
Female,White,35,Masters,7.4,49.0,51.0,3.4,Urban,86653,1,0
Male,White,36,Masters,4.5,72.9,0.0,2.2,Suburban,90292,4,0
Male,Hispanic,34,High School,19.1,87.8,44.1,2.1,Suburban,120629,3,1
Female,White,39,Masters,2.0,45.8,69.5,3.7,Urban,75590,2,0
Female,White,32,Masters,4.1,42.4,8.4,4.4,Rural,75214,2,0
Male,White,27,Masters,11.0,77.1,0.0,4.7,Urban,103703,1,1
Male,Hispanic,41,Masters,1.0,75.0,24.5,1.7,Suburban,76000,3,0
Male,White,36,Bachelors,1.4,74.0,59.8,3.3,Urban,91092,1,1
Male,Black,46,Bachelors,1.7,77.6,15.5,1.4,Rural,95025,1,0
Female,Hispanic,61,Masters,2.1,76.9,23.9,5.0,Suburban,62676,3,0
Female,Asian,34,High School,4.3,67.8,60.2,2.1,Urban,81448,3,0
Male,Black,57,Bachelors,0.8,32.5,78.5,2.9,Rural,65914,1,0
Female,White,38,Bachelors,3.8,67.9,60.2,1.0,Urban,82429,1,1
Male,Black,44,Bachelors,2.7,53.3,48.9,2.2,Urban,77199,1,0
Female,Asian,24,High School,8.7,44.7,26.8,3.2,Rural,71284,4,0
Male,White,22,Bachelors,6.8,71.8,0.0,4.3,Rural,91546,3,1
Female,White,40,Bachelors,0.9,65.4,63.3,3.1,Suburban,76760,2,0
Female,White,30,High School,2.3,69.1,12.7,1.5,Urban,87258,1,0
Male,White,45,Masters,7.8,78.0,51.2,1.4,Rural,92720,1,1
Male,White,41,High School,3.4,56.0,28.4,2.1,Urban,78550,3,0
Female,White,35,Bachelors,1.4,59.8,62.8,2.2,Suburban,78627,1,0
Male,White,35,Bachelors,11.8,54.1,36.7,4.1,Urban,96030,1,1
Male,Asian,40,High School,0.4,75.1,22.9,4.2,Urban,73764,3,0
Female,White,44,Bachelors,13.9,79.3,53.2,2.0,Urban,108000,2,1
Male,Black,26,High School,0.9,59.7,100.0,1.6,Suburban,77906,1,0
Female,White,27,Bachelors,1.0,50.3,17.8,1.0,Urban,75169,1,0
Male,White,25,PhD,9.6,89.1,58.0,1.8,Suburban,108151,1,1
Female,Asian,22,Bachelors,4.2,90.4,66.5,1.4,Rural,82662,3,0
Male,Black,26,Masters,8.9,100.0,69.1,1.7,Suburban,104750,1,0
Male,White,43,High School,9.4,80.8,73.0,4.4,Urban,97395,1,1
Female,Hispanic,22,Masters,0.3,68.6,34.0,1.2,Urban,70924,4,0
Female,Asian,44,Masters,0.8,81.1,3.3,1.0,Suburban,70439,3,0
Male,Hispanic,39,Bachelors,1.1,40.4,55.3,1.0,Suburban,70744,4,0
Male,Black,45,Bachelors,0.4,69.6,37.9,1.0,Suburban,72661,1,0
Male,Asian,31,Bachelors,1.1,79.9,33.7,1.2,Urban,82107,3,0
Male,Black,35,Bachelors,1.3,28.5,32.2,1.0,Urban,62792,2,0
Male,White,36,Bachelors,8.7,97.6,87.5,2.1,Suburban,103958,1,1
Female,White,34,High School,2.8,63.6,55.3,4.0,Rural,70797,1,0
Male,White,38,Masters,1.5,63.5,30.3,4.2,Urban,83336,3,1
Female,Black,45,Masters,0.6,85.1,43.5,1.0,Suburban,76123,1,0
Female,Hispanic,31,Bachelors,4.0,81.2,53.4,1.5,Suburban,80976,4,0
Female,White,22,Masters,0.3,88.0,53.9,1.1,Suburban,79193,1,0
Female,Hispanic,30,Bachelors,10.6,17.5,46.1,1.9,Urban,69062,3,0
Male,White,22,Bachelors,4.8,46.8,100.0,5.0,Suburban,78782,1,1
Male,Hispanic,41,Masters,1.5,16.9,84.8,1.1,Urban,58312,3,0
Female,Hispanic,41,Bachelors,1.6,51.4,50.6,3.7,Urban,70860,3,0
Female,White,34,Masters,0.4,64.9,32.8,2.7,Rural,80007,2,0
Female,White,31,Bachelors,4.8,100.0,36.8,3.7,Suburban,93110,2,0
Female,Black,44,Bachelors,11.8,100.0,48.9,1.1,Urban,99863,2,0
Male,Black,26,Masters,2.3,95.7,40.5,1.0,Rural,83280,1,0
Male,Hispanic,28,Masters,2.7,35.5,34.1,1.0,Urban,71207,3,0
Male,Asian,51,Masters,10.8,72.0,48.3,1.5,Suburban,95976,3,1
Female,Black,41,Bachelors,6.1,33.1,17.7,4.4,Suburban,68242,1,0
Female,Asian,30,High School,24.6,27.4,2.1,2.0,Suburban,102757,3,1
Female,White,30,Bachelors,2.2,58.0,69.4,3.0,Urban,73100,1,0
Male,White,40,Bachelors,2.0,85.3,10.8,3.6,Suburban,80802,1,0
Female,Black,22,High School,0.0,66.4,57.0,1.0,Suburban,74387,1,0
Male,White,35,Bachelors,0.6,73.1,89.9,2.3,Suburban,72820,1,1
Female,White,24,Masters,0.6,25.6,60.6,2.4,Urban,65894,1,0
Female,Asian,26,Bachelors,10.4,34.8,55.2,1.4,Rural,84742,3,0
Female,Black,43,High School,6.6,71.6,35.5,1.8,Urban,82495,2,0
Female,Black,29,Masters,8.2,88.2,28.0,2.4,Rural,100764,2,0
Male,White,25,Bachelors,3.5,68.3,16.9,3.0,Urban,81441,1,0
Female,White,22,Bachelors,0.2,37.3,34.3,4.0,Urban,73083,1,0
Male,Black,30,PhD,4.1,57.0,69.5,2.8,Suburban,74001,1,0
Male,White,36,High School,4.7,81.6,74.5,2.0,Urban,91153,4,1
Female,Hispanic,36,Bachelors,7.8,92.4,41.4,1.0,Suburban,95989,4,0
Female,White,39,Bachelors,0.3,64.0,53.8,1.5,Suburban,76839,3,0
Male,Asian,44,PhD,3.0,84.0,53.7,2.3,Urban,84524,3,0
Male,White,39,High School,8.5,100.0,61.1,2.4,Urban,93336,4,1
Female,White,32,High School,8.6,82.9,80.6,1.8,Urban,83991,2,1
Male,Asian,22,High School,9.8,57.0,64.2,2.4,Urban,90006,3,0
Male,Asian,40,High School,1.6,80.1,53.1,1.4,Suburban,92065,3,0
Male,Hispanic,44,Bachelors,3.9,43.2,39.9,1.0,Rural,78850,3,0
Male,Black,35,High School,8.0,56.4,19.0,3.7,Urban,89664,1,0
Female,Hispanic,22,Masters,0.5,55.5,68.4,3.9,Urban,65434,3,0
Female,Asian,28,PhD,6.1,67.2,84.0,3.6,Urban,84630,3,1
Male,Hispanic,46,Masters,1.5,49.4,4.4,2.9,Urban,77642,3,0
Female,White,26,High School,2.2,72.6,30.7,2.3,Rural,82580,3,0
Male,White,39,High School,0.9,43.8,5.6,4.2,Urban,71915,1,0
Male,Hispanic,43,Masters,1.2,77.0,36.5,4.3,Suburban,78207,4,0
Male,White,34,Bachelors,5.7,81.2,54.8,4.8,Suburban,86126,4,1
Male,Black,27,High School,3.2,30.9,17.9,1.0,Urban,71939,1,0
Male,Hispanic,47,High School,2.0,81.2,88.9,1.0,Urban,80342,3,0
Female,White,35,High School,3.0,70.0,40.1,2.1,Rural,90316,1,0
Male,White,37,High School,10.6,39.1,0.0,2.1,Urban,95679,3,0
Female,Black,33,High School,4.6,78.9,78.7,1.3,Rural,84177,1,0
Female,Black,25,Masters,3.3,39.0,89.3,1.1,Urban,70910,3,0
Female,Asian,60,High School,0.1,48.0,19.6,1.3,Urban,66338,3,0
Male,White,36,Masters,5.3,58.4,64.4,2.4,Urban,84365,1,1
Male,Black,22,PhD,0.8,66.2,14.6,1.0,Urban,77520,1,0
Female,White,23,Bachelors,5.3,60.3,37.5,4.7,Urban,83736,1,0
Female,Asian,29,High School,2.6,43.6,72.3,2.5,Rural,61411,3,0
Male,White,35,Masters,3.3,76.2,36.3,5.0,Urban,95354,1,1
Female,White,34,High School,6.7,76.1,49.5,1.4,Suburban,94085,2,0
Female,White,23,Bachelors,7.4,81.9,48.5,2.8,Urban,88361,1,1
Female,Hispanic,22,Bachelors,6.2,54.4,70.8,1.8,Urban,79523,4,0
Female,White,26,Masters,2.8,68.1,33.0,2.4,Urban,70857,2,0
Female,White,48,PhD,4.0,99.6,38.4,1.5,Urban,93112,1,0
Male,Black,27,Masters,6.7,57.8,84.4,4.3,Rural,88364,1,0
Male,Asian,27,Bachelors,1.7,91.6,14.7,1.8,Suburban,86246,3,0
Female,White,35,High School,11.0,57.2,92.1,5.0,Rural,92426,1,1
Female,White,47,Masters,4.9,52.6,72.9,2.3,Suburban,77160,3,0
Female,Hispanic,40,High School,1.0,74.9,35.5,5.0,Rural,69555,3,0
Male,Black,32,High School,4.0,35.5,36.8,1.0,Rural,81272,3,0
Female,Black,35,High School,8.9,83.1,42.2,3.0,Rural,88423,1,0
Female,White,30,High School,1.9,57.6,42.9,4.1,Urban,73397,1,0
Female,White,31,Bachelors,0.3,61.5,63.2,1.1,Suburban,70907,1,0
Female,Asian,47,Bachelors,1.0,86.4,14.7,2.4,Suburban,85082,3,0
Female,White,42,High School,0.1,83.4,32.5,4.5,Urban,72438,4,0
Male,White,33,Bachelors,1.1,57.8,20.3,2.3,Suburban,72816,2,0
Male,White,35,High School,2.6,72.8,30.6,1.5,Urban,83788,1,1
Female,Hispanic,28,PhD,1.9,100.0,20.8,1.0,Suburban,83857,3,0
Female,White,43,Masters,18.4,67.5,55.4,4.0,Urban,109170,1,1
Male,Asian,23,PhD,1.1,42.6,62.4,1.6,Rural,68497,4,0
Female,Black,27,Bachelors,14.4,48.7,45.5,3.8,Suburban,98609,1,0
Female,Black,26,Masters,1.4,95.3,85.1,1.2,Suburban,75263,3,0
Female,Hispanic,32,Bachelors,0.9,66.0,41.4,3.3,Rural,62911,3,0
Female,Hispanic,34,Bachelors,9.1,90.4,56.3,3.5,Suburban,94088,3,1
Male,Hispanic,35,High School,3.0,51.4,66.2,4.4,Suburban,78524,3,0
Male,White,31,High School,1.6,65.9,0.0,1.9,Urban,71614,1,0
Male,Asian,35,PhD,7.4,87.3,75.7,2.8,Urban,91693,4,1
Female,White,33,Masters,0.9,100.0,40.2,2.2,Urban,84073,1,0
Female,Black,29,Bachelors,18.0,62.1,51.2,1.0,Urban,103175,1,0
Female,Asian,32,Masters,9.5,51.4,38.5,5.0,Urban,88092,3,0
Male,White,31,Bachelors,1.7,88.2,18.8,2.8,Rural,90650,1,1
Female,Hispanic,32,PhD,1.3,63.4,73.6,3.9,Rural,69475,4,0
Female,Black,35,Bachelors,4.8,48.9,11.0,3.6,Urban,73200,1,0
Female,Hispanic,22,Masters,1.7,96.4,53.1,2.6,Urban,78448,3,0
Male,White,41,PhD,0.7,44.3,65.9,1.1,Rural,66706,1,1
Male,Black,35,Masters,6.6,58.5,28.7,5.0,Urban,89440,1,0
Female,Hispanic,32,Masters,1.3,87.7,36.9,2.8,Urban,81521,3,0
Male,Black,23,High School,15.7,51.3,39.3,2.6,Urban,102908,1,1
Female,White,39,Bachelors,0.9,66.0,74.8,2.2,Suburban,69618,2,0
Male,White,34,Bachelors,7.8,51.4,87.7,2.3,Urban,75694,1,1
Female,White,45,Masters,0.2,86.7,86.8,2.9,Rural,77320,1,0
Female,White,22,High School,10.2,61.4,35.4,2.1,Rural,94283,3,0
Male,Black,22,High School,1.5,56.6,46.2,1.1,Urban,72715,1,0
Female,White,25,High School,3.7,28.0,46.6,3.7,Suburban,63127,3,0
Male,Black,22,Bachelors,0.4,54.1,45.3,4.7,Suburban,69401,3,0
Female,Black,22,Bachelors,6.4,20.7,42.7,2.8,Urban,74284,2,0
Female,Black,43,Bachelors,4.7,80.0,33.6,2.9,Rural,79890,2,0
Female,Asian,27,High School,3.0,82.2,17.2,4.1,Suburban,83469,3,0
Female,Asian,34,Masters,0.5,100.0,62.1,4.5,Urban,83894,3,1
Male,Asian,22,High School,7.7,79.9,42.4,1.6,Suburban,86293,3,1
Male,White,49,Masters,0.7,100.0,59.5,2.2,Rural,93431,2,0
Male,Black,24,Bachelors,0.6,32.9,78.9,1.1,Urban,70617,1,0
Female,Black,35,Bachelors,6.9,35.6,58.4,4.2,Urban,78516,3,0
Female,White,23,High School,10.6,34.2,41.4,3.4,Suburban,84110,3,0
Male,Asian,22,High School,21.9,65.1,21.1,3.0,Suburban,117764,3,1
Male,White,32,PhD,2.3,49.3,23.5,4.4,Rural,86028,1,0
Female,Black,34,Masters,5.7,83.7,42.2,4.3,Suburban,89297,2,0
Female,Black,44,Bachelors,5.2,26.7,58.4,1.0,Suburban,76768,1,0
Female,White,33,Bachelors,10.9,92.6,52.7,4.2,Suburban,101866,1,1
Male,White,39,Bachelors,0.5,80.5,31.6,1.6,Urban,88602,1,1
Female,White,65,High School,9.6,58.2,75.0,1.6,Urban,94216,1,0
Male,White,31,Bachelors,12.4,79.3,27.8,1.2,Urban,109778,1,1
Male,White,35,High School,0.4,60.8,40.7,2.7,Suburban,79782,1,0
Female,Hispanic,44,PhD,1.2,88.3,70.7,1.0,Suburban,75730,4,0
Male,Asian,37,Bachelors,2.7,90.6,60.6,1.1,Urban,85766,3,0
Female,Hispanic,29,Masters,2.0,93.1,65.4,2.9,Suburban,81293,3,0
Male,White,28,Masters,1.8,80.5,76.9,2.5,Rural,83648,2,1
Female,Asian,52,Bachelors,1.5,75.0,70.6,4.4,Urban,70678,3,0
Male,White,41,Masters,0.1,76.7,95.4,1.0,Urban,77873,2,1
Female,Asian,38,Masters,5.3,62.2,44.7,3.5,Urban,81395,3,0
Female,White,37,Masters,3.6,96.4,19.5,2.0,Urban,88758,1,1
Male,White,22,Masters,3.0,95.1,30.6,2.2,Rural,91168,3,0
Male,White,35,Bachelors,2.7,53.6,5.3,2.2,Urban,72817,3,0
Male,Hispanic,36,Bachelors,3.7,48.3,11.2,2.5,Suburban,75381,4,0
Male,White,26,PhD,1.9,59.6,65.3,1.3,Rural,79667,1,0
Female,White,44,Bachelors,1.0,22.5,65.9,3.4,Suburban,58927,1,0
Male,Asian,31,Bachelors,3.1,83.3,50.3,1.4,Rural,89823,3,0
Female,Black,38,Bachelors,1.7,90.2,93.7,3.5,Rural,81902,2,0
Male,Asian,30,Masters,5.3,89.0,42.4,3.0,Urban,92211,3,0
Female,Asian,31,Bachelors,8.4,69.3,48.6,1.1,Rural,85389,3,0
Female,Asian,43,Bachelors,2.8,34.7,54.1,1.8,Suburban,68394,4,0
Female,White,38,PhD,6.7,89.4,53.5,1.4,Urban,89663,1,0
Female,Asian,48,Masters,7.6,98.9,43.5,1.0,Suburban,102214,3,1
Female,White,33,Bachelors,0.6,87.7,45.8,1.0,Urban,76242,1,0
Male,White,49,High School,11.8,40.4,67.6,3.5,Urban,92667,1,1
Female,White,36,Bachelors,1.1,60.6,58.3,1.8,Suburban,72831,1,0
Female,White,22,High School,0.5,43.0,36.3,4.7,Rural,72119,2,0
Male,Hispanic,24,Bachelors,8.4,73.9,74.3,3.8,Urban,93956,4,0
Female,White,41,High School,7.2,20.1,27.5,3.5,Rural,74560,3,0
Female,White,29,High School,9.4,61.8,12.2,3.4,Urban,95417,2,0
Male,Hispanic,25,PhD,13.7,48.4,47.2,1.8,Urban,101923,3,0
Male,White,40,Bachelors,14.2,29.7,35.5,1.1,Rural,96703,2,1
Female,Black,41,Bachelors,2.3,30.1,62.4,2.3,Suburban,62065,1,0
Male,Asian,22,High School,2.6,63.8,19.8,2.0,Rural,85237,3,0
Male,Asian,40,Masters,2.0,96.0,34.9,4.5,Suburban,79787,3,0
Female,Hispanic,23,Bachelors,3.4,66.1,53.0,1.0,Urban,78438,4,0
Female,White,31,Masters,1.5,32.6,66.6,1.4,Urban,59337,1,0
Male,Black,22,Masters,2.0,34.5,53.7,1.0,Urban,68314,1,0
Female,Asian,48,PhD,0.1,60.8,26.8,2.1,Urban,73454,3,0
Female,Hispanic,22,Masters,9.3,56.2,9.5,2.9,Rural,88867,3,0
Male,Asian,34,Masters,2.9,33.6,50.8,2.9,Urban,68210,4,0
Female,Black,30,Bachelors,2.3,36.0,51.2,1.0,Urban,66502,1,0
Female,Asian,41,High School,8.1,67.6,59.2,1.0,Urban,86639,3,0
Male,White,22,High School,1.3,52.1,73.4,2.7,Suburban,72334,1,0
Female,Asian,43,Bachelors,1.6,51.6,62.3,5.0,Urban,67199,3,0
Female,Black,40,Bachelors,0.7,84.2,50.2,2.7,Urban,79392,1,0
Male,Asian,27,Masters,1.1,59.4,52.4,3.0,Urban,73072,4,0
Male,Black,22,High School,2.0,64.8,66.6,1.0,Urban,80519,1,0
Female,White,34,Bachelors,2.3,91.6,31.0,1.0,Urban,81389,4,0
Female,White,26,Bachelors,0.1,83.9,72.8,4.4,Urban,73522,1,0
Female,White,31,Masters,1.2,70.5,86.2,2.6,Rural,82376,1,0
Female,White,45,High School,0.6,62.8,45.2,3.3,Urban,80410,2,0
Male,Black,29,High School,2.9,87.8,50.9,1.2,Rural,90480,1,0
Female,Black,41,PhD,2.9,87.2,11.6,2.2,Suburban,80806,1,0
Female,Asian,25,PhD,2.9,100.0,48.0,1.0,Urban,92480,4,0
Male,White,22,Bachelors,25.0,33.2,25.7,1.0,Suburban,118441,4,1
Male,White,36,Bachelors,5.4,80.5,47.6,2.3,Urban,88277,3,1
Male,Black,22,Masters,25.0,58.4,94.9,3.4,Urban,122081,2,1
Male,White,26,Bachelors,6.5,95.2,76.2,2.0,Urban,98755,1,1
Female,Black,45,PhD,2.6,82.5,51.7,1.8,Urban,86440,1,0
Male,Asian,22,Bachelors,1.1,85.8,70.3,2.7,Rural,89782,3,1
Female,White,26,Bachelors,1.5,37.9,78.8,2.9,Urban,68050,2,0
Male,White,22,High School,3.0,60.8,0.0,2.6,Urban,78890,1,0
Male,Black,47,PhD,7.9,87.4,17.4,1.7,Rural,104385,2,1
Male,Hispanic,31,PhD,2.5,61.1,22.0,1.6,Urban,74260,3,0
Female,Black,22,Masters,6.4,55.0,49.9,2.8,Suburban,73303,1,0
Female,White,32,Bachelors,11.5,70.2,40.1,1.4,Suburban,97294,3,0
Male,White,22,Bachelors,2.6,51.3,16.7,1.1,Urban,62751,1,0
Male,White,49,Masters,1.7,56.5,55.8,4.4,Rural,78190,1,1
Female,Black,39,High School,1.0,89.1,65.0,2.7,Urban,78004,1,0
Female,Black,29,Masters,3.8,13.5,50.5,1.0,Suburban,59679,1,0
Female,White,28,High School,6.6,77.1,77.5,2.2,Urban,93113,1,1
Female,White,31,PhD,23.1,67.2,61.5,2.7,Rural,125349,1,1
Male,White,22,Masters,5.1,67.4,51.1,1.7,Suburban,84449,1,1
Female,White,28,Bachelors,4.1,85.3,19.4,1.4,Urban,87411,1,0
Male,Hispanic,37,Masters,5.3,64.5,75.0,1.0,Suburban,82814,3,0
Female,Black,37,PhD,14.3,70.8,39.9,3.2,Suburban,101703,4,0
Male,Black,30,Bachelors,5.8,80.4,67.4,1.7,Urban,91646,2,1
Female,Asian,48,Bachelors,2.5,65.2,50.5,1.2,Urban,78584,3,0
