Gender,Race,Age,Education_Level,Experience_Years,Communication_Score,University_Prestige,Location,Interview_Score,Salary_Expectation,Name_Complexity,Hiring_Decision
Male,Hispanic,36,Bachelors,10.5,65.2,1.5,Urban,55.6,80350,3,0
Female,White,50,PhD,2.2,36.3,4.5,Urban,54.0,89867,2,0
Female,Hispanic,35,Bachelors,0.3,56.7,1.2,Urban,35.0,68879,3,0
Male,White,23,High School,3.2,67.7,2.9,Rural,74.9,78288,1,1
Female,White,30,Bachelors,1.3,22.9,4.6,Urban,27.8,86113,1,0
Male,Asian,32,High School,2.5,30.8,2.0,Urban,89.4,82641,3,0
Male,Hispanic,41,Masters,3.4,95.0,1.0,Suburban,32.1,88375,4,0
Male,Hispanic,47,Bachelors,0.3,15.1,1.1,Rural,51.6,70631,4,0
Male,Black,36,Bachelors,0.4,22.9,1.1,Rural,38.5,73562,2,0
Female,White,24,Masters,7.2,43.7,2.1,Urban,65.0,71229,1,0
Male,Hispanic,45,High School,12.9,0.0,2.5,Suburban,35.1,107998,3,0
Female,Black,22,Bachelors,16.7,39.9,2.1,Rural,30.7,107909,2,0
Male,Hispanic,37,Bachelors,0.2,43.9,1.2,Urban,26.2,81814,3,0
Male,Black,27,Bachelors,2.8,64.1,1.0,Urban,60.4,59851,3,0
Male,Asian,32,Bachelors,1.7,51.2,2.2,Urban,7.0,72663,3,0
Female,Black,25,High School,3.7,67.0,2.8,Urban,45.3,75825,2,0
Male,White,48,Bachelors,3.3,16.7,1.1,Suburban,30.4,88310,1,0
Female,Hispanic,25,Masters,0.9,0.0,1.0,Suburban,41.7,80651,3,0
Male,White,30,Bachelors,1.8,78.0,4.5,Urban,54.0,91024,4,1
Male,Asian,40,High School,3.5,16.7,4.3,Suburban,79.4,75706,3,0
Female,White,24,Masters,5.0,81.1,2.3,Rural,62.3,90786,1,0
Male,Hispanic,22,Masters,2.4,52.9,1.8,Rural,82.1,84496,3,0
Male,White,58,High School,0.6,79.5,4.3,Urban,31.1,74174,1,0
Female,White,39,Masters,2.5,29.4,4.3,Suburban,53.9,84676,3,0
Male,White,31,Masters,4.2,63.9,2.5,Suburban,100.0,91294,4,1
Male,White,36,Bachelors,5.8,38.4,1.3,Urban,100.0,90591,4,1
Male,White,48,Bachelors,3.9,64.1,1.0,Urban,30.2,92807,2,1
Male,White,28,Bachelors,1.4,38.3,2.4,Urban,81.2,88312,1,1
Male,White,40,High School,3.7,75.4,1.2,Suburban,28.9,81572,2,0
Female,Black,36,PhD,5.5,69.6,4.2,Urban,61.6,83865,2,0
Female,White,39,Masters,6.8,36.7,2.8,Urban,20.7,84700,3,0
Female,Asian,47,Masters,9.6,24.7,1.3,Urban,61.9,84821,4,0
Male,White,22,Bachelors,0.9,27.9,1.0,Urban,42.9,77121,1,0
Female,White,25,Bachelors,10.7,15.5,1.8,Suburban,74.0,91828,1,0
Male,White,56,PhD,15.6,100.0,1.1,Rural,37.5,113609,1,1
Female,White,44,Masters,1.0,76.9,2.5,Urban,50.4,82559,4,0
Female,Black,47,Bachelors,1.6,25.5,4.5,Rural,25.1,82630,2,0
Female,White,38,Bachelors,6.5,30.6,5.0,Urban,82.9,96065,1,1
Male,Hispanic,22,Bachelors,7.3,23.3,1.7,Urban,19.1,96791,4,0
Female,Black,22,Bachelors,7.2,64.4,1.0,Rural,66.4,76381,1,0
Male,White,46,Masters,12.1,64.6,3.0,Suburban,26.1,110795,1,1
Male,Hispanic,42,Masters,3.0,66.1,2.2,Urban,47.8,91883,4,0
Male,White,47,Bachelors,2.1,65.4,2.4,Urban,67.0,76813,1,1
Female,White,35,PhD,9.9,44.4,2.3,Urban,93.8,91232,1,1
Female,White,32,Masters,3.1,39.1,1.0,Urban,49.6,76527,1,0
Female,Hispanic,24,High School,0.8,0.0,4.9,Urban,51.3,80196,3,0
Male,White,34,High School,0.6,26.4,3.5,Suburban,41.1,93067,1,0
Male,White,33,Masters,10.1,25.5,3.5,Urban,47.8,107587,1,1
Male,Hispanic,44,Masters,1.2,72.1,3.2,Suburban,58.3,85153,3,0
Male,White,38,PhD,19.4,69.6,1.5,Rural,81.0,119840,1,1
Male,Asian,44,Masters,11.1,34.9,2.0,Urban,19.6,95819,3,0
Male,Asian,34,PhD,3.4,14.1,4.1,Suburban,32.9,82169,3,0
Male,White,34,High School,5.0,46.8,5.0,Urban,71.6,65677,3,1
Female,Hispanic,34,PhD,1.2,7.5,3.3,Rural,75.7,69593,3,0
Male,Black,22,Masters,2.5,92.0,2.1,Rural,73.8,86278,3,0
Male,Hispanic,30,Masters,9.6,0.1,1.6,Urban,41.2,98722,4,0
Female,White,44,Bachelors,2.6,47.7,1.5,Suburban,44.7,81434,2,0
Male,Asian,22,Bachelors,9.5,32.5,3.1,Urban,47.6,106954,3,1
Male,White,25,Bachelors,2.2,89.9,1.1,Urban,61.0,90600,1,1
Male,Hispanic,47,Masters,2.7,23.3,3.5,Suburban,68.7,82764,4,0
Male,White,22,Bachelors,6.3,81.1,2.6,Suburban,88.8,96215,1,1
Male,White,42,Masters,3.3,75.3,1.0,Urban,68.3,82932,2,0
Female,Hispanic,39,Masters,3.7,85.3,2.3,Suburban,93.1,87825,3,0
Female,White,35,Masters,4.7,49.3,1.4,Urban,63.6,72609,1,0
Female,Asian,27,Masters,0.3,56.1,2.2,Urban,71.9,61694,3,0
Female,Asian,24,Bachelors,5.2,46.4,4.5,Urban,37.4,67558,4,0
Female,Hispanic,30,Masters,7.4,20.4,2.5,Suburban,67.7,88588,4,0
Male,White,40,PhD,11.0,58.6,2.6,Suburban,65.2,98684,3,1
Male,Asian,25,Bachelors,4.0,44.2,1.9,Urban,61.2,70370,4,0
Male,White,41,Bachelors,9.5,51.8,2.8,Urban,72.6,91880,1,1
Female,White,42,Bachelors,0.7,20.1,1.4,Suburban,52.3,78552,4,0
Male,White,41,Bachelors,6.1,67.8,1.7,Urban,47.8,93565,1,1
Female,White,37,High School,16.9,75.1,3.2,Urban,92.8,116274,2,1
Male,White,35,Masters,22.2,35.0,3.5,Urban,58.6,117286,1,1
Female,Black,42,Bachelors,8.3,57.0,1.2,Rural,17.3,77955,1,0
Female,White,48,Bachelors,2.1,85.3,3.2,Urban,63.0,66767,2,0
Male,White,26,Masters,21.2,63.1,1.0,Urban,100.0,127203,1,1
Male,Hispanic,28,Masters,1.2,72.0,1.1,Urban,46.0,84946,3,0
Male,Asian,51,Bachelors,0.6,25.1,1.0,Urban,100.0,70070,3,1
Male,White,36,Masters,0.2,48.2,2.9,Rural,54.8,76352,3,0
Male,Black,27,High School,1.2,47.5,1.0,Suburban,46.1,78026,1,0
Female,White,42,High School,0.7,37.1,1.9,Urban,43.6,71295,2,0
Female,Asian,52,Masters,4.0,0.0,4.6,Urban,61.4,76067,3,0
Male,Asian,38,Masters,1.4,67.6,1.7,Rural,86.1,93102,4,1
Female,White,40,Bachelors,11.5,39.5,2.8,Suburban,73.6,105911,1,1
Female,Asian,34,Masters,3.1,39.1,3.2,Urban,97.5,82597,3,0
Female,Hispanic,28,High School,11.4,56.0,1.8,Suburban,51.7,85433,4,0
Female,White,36,Bachelors,2.4,94.7,4.1,Suburban,70.6,69141,3,1
Female,Black,39,High School,15.8,39.2,1.3,Rural,23.0,98596,3,0
Female,Asian,36,Bachelors,2.9,39.5,3.4,Suburban,51.7,66759,4,0
Female,White,27,PhD,12.3,86.0,3.9,Urban,71.3,101346,1,1
Male,Asian,46,Bachelors,5.2,44.6,1.2,Rural,94.3,84136,4,0
Female,White,32,High School,7.0,18.0,3.1,Suburban,55.7,96252,1,0
Male,Asian,42,Bachelors,1.1,54.0,2.5,Suburban,58.5,84973,3,0
Male,White,45,Masters,2.6,58.3,2.6,Suburban,44.9,88984,1,0
Male,Hispanic,42,Bachelors,1.3,21.3,1.0,Urban,54.6,71386,4,0
Female,Hispanic,22,Bachelors,0.9,60.9,1.0,Urban,22.7,55851,3,0
Male,White,25,Bachelors,3.2,89.4,1.3,Urban,42.4,86252,1,0
Male,White,24,Bachelors,16.9,20.9,2.5,Urban,41.0,119393,1,1
Female,Asian,22,Masters,4.7,97.6,2.2,Suburban,41.5,78542,3,0
Female,Asian,33,High School,12.5,28.8,1.4,Suburban,32.4,80968,3,0
Male,White,22,High School,3.1,87.8,3.4,Urban,72.8,89464,1,1
Male,Hispanic,34,Bachelors,15.3,71.2,1.0,Rural,59.4,111236,3,1
Male,Hispanic,45,High School,3.2,42.9,2.6,Suburban,66.5,82603,3,0
Female,White,36,High School,3.7,66.7,3.5,Rural,62.6,74270,2,0
Male,White,33,High School,1.5,34.8,3.0,Suburban,54.3,86778,4,0
Female,White,49,Masters,8.5,87.7,1.3,Urban,28.0,96219,1,0
Male,Hispanic,43,Bachelors,1.9,60.3,1.0,Rural,25.2,77494,3,0
Male,White,25,PhD,7.6,9.7,4.7,Urban,57.2,91468,2,1
Male,Black,40,High School,1.8,31.6,3.1,Rural,73.7,70184,1,0
Female,Hispanic,28,Bachelors,7.1,51.1,3.0,Urban,77.0,96711,3,0
Male,Black,37,High School,0.2,43.4,1.0,Suburban,54.0,71741,3,0
Male,Asian,22,Masters,3.3,80.5,4.3,Urban,59.0,93495,3,1
Female,Hispanic,34,Bachelors,2.6,48.4,2.2,Suburban,37.2,68516,4,0
Female,White,48,Masters,12.7,90.3,1.1,Urban,46.9,85185,1,1
Male,Asian,45,Bachelors,1.7,79.7,2.0,Suburban,100.0,71052,3,0
Male,Black,28,Masters,9.0,73.8,4.0,Urban,53.3,102645,2,1
Female,Hispanic,22,Bachelors,0.8,70.2,1.3,Urban,68.7,59456,4,0
Female,White,22,Masters,4.1,62.5,3.9,Urban,60.8,90537,1,0
Male,White,36,PhD,2.5,63.6,1.3,Urban,44.8,92372,1,1
Male,White,37,Bachelors,1.7,56.4,2.4,Suburban,100.0,79529,1,1
Male,White,29,Masters,5.0,32.6,3.9,Urban,82.2,81711,1,1
Female,White,59,Bachelors,6.8,92.8,1.4,Suburban,57.4,84659,2,1
Female,Hispanic,32,Masters,5.6,15.4,1.2,Rural,47.5,87046,3,0
Male,White,33,Bachelors,2.9,75.8,2.3,Urban,66.0,85202,1,1
Male,White,22,Bachelors,3.4,33.9,4.3,Urban,65.0,79454,2,1
Male,Hispanic,31,High School,5.7,21.8,3.4,Suburban,67.4,78579,3,0
Male,White,22,Masters,3.4,51.4,2.2,Urban,96.9,81310,1,1
Male,Hispanic,22,PhD,0.1,19.9,4.3,Rural,78.6,66251,4,0
Male,White,22,Masters,3.6,92.4,1.3,Suburban,56.8,79736,2,1
Female,Hispanic,36,High School,0.6,47.9,2.1,Urban,61.3,62545,3,0
Female,White,39,Masters,6.3,76.2,1.6,Suburban,70.5,74504,1,1
Male,Hispanic,45,High School,11.8,46.3,3.0,Suburban,43.9,88226,4,0
Female,White,22,Bachelors,0.7,89.4,2.4,Rural,67.7,66529,2,0
Male,White,43,PhD,11.1,76.3,1.8,Urban,92.6,104679,2,1
Female,Hispanic,42,High School,9.0,58.3,3.8,Suburban,46.9,80274,3,0
Female,Black,27,Masters,13.0,55.8,2.7,Urban,43.2,87005,1,0
Male,White,54,Bachelors,12.4,67.9,1.4,Urban,100.0,101037,1,1
Male,White,40,Masters,5.1,36.3,4.3,Urban,81.6,76765,2,1
Male,White,32,High School,0.4,27.8,1.0,Suburban,95.7,75539,2,0
Male,White,23,Bachelors,2.3,84.6,2.2,Suburban,28.0,82900,3,0
Male,Hispanic,29,Masters,6.1,59.4,1.5,Rural,50.4,87096,4,0
Male,Black,35,Masters,0.7,36.6,2.8,Suburban,42.7,82710,1,0
Female,White,44,Bachelors,7.9,60.4,3.5,Urban,51.1,88150,1,1
Male,Black,45,Masters,13.6,81.9,2.4,Suburban,44.0,99916,1,1
Female,White,28,Bachelors,1.5,82.8,1.5,Urban,9.5,69533,1,0
Male,White,33,PhD,0.4,70.2,4.2,Suburban,72.8,69865,2,0
Male,White,25,Bachelors,8.7,51.6,1.4,Suburban,28.8,83591,1,0
Male,Asian,22,PhD,0.3,21.4,4.3,Urban,50.1,82240,3,0
Female,White,38,High School,1.3,76.6,4.2,Suburban,48.8,70056,1,0
Male,White,25,Masters,1.6,96.6,4.9,Urban,65.8,91388,1,1
Male,Black,45,Bachelors,11.3,16.7,4.7,Rural,50.6,99130,2,0
Female,White,30,PhD,13.3,18.4,1.2,Suburban,36.3,99392,1,0
Female,Black,33,High School,9.1,79.3,1.9,Urban,66.8,84264,1,0
Female,Black,33,PhD,1.1,95.6,1.6,Rural,76.3,74151,1,0
Female,Asian,41,Bachelors,3.4,0.0,2.0,Urban,89.4,81772,3,0
Female,Asian,32,Bachelors,2.3,61.2,4.1,Urban,26.5,85546,3,0
Male,White,30,Bachelors,25.0,76.7,3.1,Urban,76.5,131774,1,1
Male,White,60,High School,1.0,58.9,2.5,Rural,52.0,93888,1,0
Female,Asian,22,Masters,2.2,11.4,3.0,Urban,33.5,65299,3,0
Male,White,23,Masters,1.9,47.7,2.7,Suburban,50.4,86174,1,1
Male,White,27,High School,14.6,62.9,2.5,Suburban,43.6,109136,1,1
Male,White,22,Bachelors,1.0,34.9,1.4,Suburban,58.0,73141,1,0
Female,White,50,PhD,0.0,65.7,1.1,Urban,57.1,81758,1,0
Female,Asian,27,Masters,7.4,30.8,3.0,Urban,49.3,79569,3,0
Male,Hispanic,36,Bachelors,4.0,66.8,1.3,Suburban,64.3,96430,4,0
Female,White,40,Bachelors,2.1,83.1,3.5,Rural,61.0,79935,4,1
Male,Black,42,PhD,10.4,49.8,1.2,Urban,70.9,101806,1,0
Male,Hispanic,56,High School,7.5,31.8,3.1,Urban,21.4,87590,3,0
Female,Black,35,Bachelors,7.5,7.6,1.7,Suburban,38.8,91915,1,0
Female,Asian,36,Bachelors,2.1,40.0,2.4,Suburban,55.6,71366,3,0
Female,White,48,Masters,2.7,38.2,1.4,Urban,38.4,74537,1,0
Male,White,41,PhD,7.4,42.8,4.1,Urban,39.5,92386,1,1
Female,Hispanic,48,High School,3.0,37.3,1.0,Suburban,84.4,67108,4,0
Female,Black,22,Bachelors,1.6,70.3,1.2,Rural,63.1,70835,2,0
Male,Asian,24,Masters,0.4,70.7,2.3,Urban,70.1,85249,4,1
Female,Hispanic,31,Bachelors,0.1,41.1,1.6,Suburban,48.0,68617,3,0
Female,Hispanic,29,High School,25.0,42.7,1.8,Rural,64.3,122720,3,1
Male,Hispanic,42,PhD,3.5,0.0,1.7,Suburban,28.5,82477,3,0
Female,White,22,Masters,2.5,71.4,3.6,Urban,65.0,84827,1,0
Female,Black,22,High School,0.3,57.2,1.0,Rural,33.4,52863,1,0
Male,Black,38,Bachelors,5.0,72.3,1.7,Urban,64.6,77710,2,0
Male,White,48,High School,14.6,33.7,1.1,Urban,59.6,98332,1,1
Female,Hispanic,27,High School,0.4,41.4,1.0,Urban,32.3,70120,4,0
Female,Asian,41,Bachelors,0.6,64.8,1.1,Rural,34.1,79400,3,0
Male,Black,32,Bachelors,14.6,70.5,1.9,Urban,58.6,98174,3,1
Male,White,30,Bachelors,1.3,28.7,1.3,Urban,55.5,85197,1,0
Female,Asian,22,High School,0.3,59.7,1.8,Urban,95.0,64875,3,0
Female,White,46,Masters,5.5,42.9,2.6,Urban,91.5,105973,1,1
Female,White,34,Masters,0.2,45.6,1.1,Urban,58.8,63055,1,0
Female,Black,34,Masters,3.6,69.3,3.4,Urban,5.7,77813,2,0
Male,Asian,27,High School,0.2,43.8,3.7,Suburban,91.7,79035,3,1
Female,Black,27,High School,10.1,87.2,2.0,Rural,27.2,82013,1,0
Female,White,32,PhD,2.9,66.6,4.5,Suburban,40.3,90296,1,0
Female,Asian,34,Bachelors,3.5,48.8,1.1,Suburban,66.0,94685,4,0
Female,White,22,Bachelors,4.3,34.4,5.0,Urban,50.9,75257,4,0
Female,Asian,31,Bachelors,0.4,57.0,3.1,Suburban,59.6,84435,4,0
Male,Hispanic,22,High School,4.1,23.7,2.3,Suburban,49.3,80714,4,0
Male,White,35,High School,2.8,25.3,1.0,Urban,94.9,89850,1,1
Female,Hispanic,38,Masters,0.7,67.0,3.7,Rural,83.3,81442,3,0
Female,White,48,Masters,19.9,46.7,1.4,Urban,65.1,109174,1,1
Male,White,33,Masters,4.9,48.1,1.6,Suburban,64.0,73361,2,0
Male,Asian,36,Masters,6.5,49.8,4.4,Suburban,100.0,91149,4,1
Male,White,23,PhD,22.7,66.3,1.5,Urban,65.7,126891,1,1
Male,Asian,47,High School,0.2,29.2,4.3,Urban,43.7,65108,4,0
Male,White,26,Masters,7.9,48.0,2.5,Suburban,91.3,88623,1,1
Male,Black,44,Bachelors,1.2,61.3,2.2,Urban,78.0,74865,1,0
Male,White,44,Masters,1.9,21.1,3.2,Suburban,28.7,87930,1,0
Female,White,25,Bachelors,0.1,74.8,1.5,Urban,50.3,87223,1,0
Female,Hispanic,57,Bachelors,0.6,60.7,2.8,Rural,59.7,61700,3,0
Female,Black,39,Bachelors,1.4,33.2,1.0,Suburban,64.6,76920,1,0
Male,Hispanic,24,Masters,3.0,32.8,1.1,Rural,59.8,85859,3,0
Female,Black,32,Bachelors,4.3,51.9,1.0,Rural,23.8,58631,2,0
Male,White,42,Masters,5.4,22.3,4.6,Urban,76.5,72399,1,1
Male,Asian,47,Bachelors,1.6,90.0,1.3,Rural,48.5,72205,4,0
Female,Hispanic,35,Masters,0.3,32.7,3.2,Urban,36.0,72817,3,0
Male,Black,37,Bachelors,3.2,16.1,1.0,Urban,44.2,75721,1,0
Male,Hispanic,26,Masters,8.6,50.1,3.3,Suburban,42.3,84939,3,0
Male,White,43,High School,2.7,80.8,3.1,Rural,70.7,86365,1,1
Male,White,31,PhD,2.4,32.0,4.2,Urban,73.1,85071,3,1
Female,White,46,PhD,3.2,53.4,4.6,Suburban,95.1,76802,2,1
Male,Hispanic,22,Masters,3.9,8.6,2.1,Suburban,59.1,73736,3,0
Female,Asian,29,Bachelors,15.7,62.3,1.0,Suburban,71.9,102195,3,1
Female,Hispanic,49,Masters,3.3,20.3,2.5,Urban,43.8,82135,3,0
Male,Asian,37,Bachelors,0.6,64.8,4.3,Rural,60.1,81580,3,0
Female,White,26,High School,0.5,35.5,5.0,Suburban,83.0,75003,1,1
Male,Black,22,Masters,4.7,53.9,1.0,Urban,48.0,78197,1,0
Female,Asian,31,Bachelors,4.4,80.8,1.1,Rural,52.8,82561,3,0
Male,White,50,High School,6.6,81.5,2.4,Rural,100.0,97741,3,1
Female,Asian,65,High School,3.0,26.6,1.5,Urban,40.5,74682,3,0
Female,White,30,Bachelors,17.7,35.6,4.3,Urban,93.4,115494,1,1
Female,White,33,Masters,6.2,23.7,5.0,Urban,15.7,96684,3,0
Male,Hispanic,22,High School,0.1,37.4,4.1,Rural,72.3,71075,3,0
Male,Asian,27,Bachelors,0.6,22.5,3.2,Urban,58.6,77382,3,0
Female,Hispanic,51,Bachelors,3.1,51.1,1.0,Rural,45.8,68630,3,0
Female,Black,38,High School,11.0,42.9,3.9,Urban,57.9,82753,1,0
Male,Asian,36,High School,19.1,64.3,4.4,Suburban,48.0,106139,3,1
Male,Asian,34,Bachelors,16.3,74.6,1.0,Urban,20.2,110367,3,1
Female,Asian,38,Bachelors,3.4,56.2,4.3,Urban,65.8,76522,3,0
Male,Asian,22,Masters,4.8,31.8,2.2,Urban,81.2,94518,3,1
Female,Hispanic,45,High School,13.6,81.8,1.0,Urban,86.6,76407,3,0
Male,Hispanic,50,High School,0.1,49.3,4.4,Urban,43.1,72335,4,0
Female,White,22,PhD,2.3,72.9,2.8,Urban,100.0,86358,1,1
Female,White,29,Masters,7.1,69.9,1.3,Suburban,77.1,74072,2,1
Female,White,29,High School,2.6,60.9,5.0,Urban,43.1,84087,2,0
Female,Asian,28,Bachelors,2.9,55.7,2.0,Rural,41.7,70279,3,0
Female,Asian,31,Bachelors,5.0,72.6,1.9,Urban,37.4,94759,3,0
Female,Hispanic,34,High School,7.0,12.6,1.0,Suburban,55.7,80460,3,0
Male,White,33,PhD,1.9,48.9,1.3,Rural,30.9,88691,1,0
Male,White,30,Bachelors,16.2,13.2,1.0,Urban,86.0,112567,3,1
Male,White,24,Masters,4.9,35.7,3.5,Urban,57.6,78425,1,1
Female,White,42,Masters,10.5,82.0,2.0,Urban,51.2,107845,1,1
Male,White,27,Bachelors,0.3,53.9,2.6,Urban,91.0,88718,1,1
Male,Black,22,High School,17.1,16.8,3.0,Urban,94.1,112002,2,1
Male,White,44,Masters,4.4,69.4,1.0,Urban,100.0,80345,2,1
Female,Hispanic,24,Bachelors,3.2,68.3,1.0,Rural,27.4,77045,4,0
Male,Asian,34,Bachelors,23.6,74.2,2.1,Urban,28.0,114046,4,1
Male,White,30,PhD,2.5,24.8,4.7,Urban,42.2,98282,1,0
Male,White,43,Masters,18.6,33.3,1.3,Suburban,36.0,115339,1,1
Female,White,33,Bachelors,11.5,50.1,4.6,Urban,57.9,105207,1,1
Female,Asian,34,Masters,5.0,62.5,2.2,Suburban,48.0,91110,4,0
Female,Hispanic,23,Bachelors,0.0,12.9,3.1,Suburban,73.2,67389,3,0
Female,White,39,Bachelors,9.8,46.5,4.6,Suburban,79.3,101756,1,1
Male,Asian,22,High School,1.2,44.0,1.0,Rural,47.1,84560,3,0
Female,White,25,Masters,0.8,48.4,1.0,Urban,66.7,73489,2,0
Male,Asian,33,PhD,9.3,59.6,3.2,Urban,85.0,99370,4,1
Male,Black,22,Bachelors,3.5,65.1,1.0,Rural,31.2,68144,2,0
Female,Black,30,PhD,0.7,26.4,2.6,Urban,37.4,65281,1,0
Female,White,25,Masters,1.5,60.6,4.3,Urban,51.1,72253,4,0
Male,White,31,Masters,4.7,58.1,1.4,Urban,68.9,83386,1,1
Male,Asian,41,Masters,8.5,6.6,5.0,Rural,64.8,83890,3,1
Female,Black,27,Bachelors,6.4,34.4,1.8,Rural,39.5,83979,4,0
Female,White,28,Bachelors,2.4,21.9,3.7,Suburban,86.3,66866,1,0
Female,Asian,39,High School,7.8,51.0,5.0,Urban,86.6,81208,3,0
Male,White,22,Masters,3.7,100.0,1.3,Urban,54.4,80915,1,1
Female,Asian,26,High School,2.4,50.3,5.0,Urban,41.0,66188,3,0
Female,Hispanic,38,Masters,4.9,28.4,3.9,Urban,65.8,82434,3,0
Female,White,42,PhD,3.1,93.8,4.2,Rural,33.9,75665,1,0
Male,White,22,Masters,0.1,82.4,3.9,Rural,43.4,86878,1,1
Male,Asian,34,Bachelors,14.7,25.5,2.2,Rural,79.3,114283,3,1
Female,Asian,45,Bachelors,0.5,56.7,3.9,Urban,76.4,86454,3,0
Male,White,24,Bachelors,0.8,58.1,1.3,Suburban,40.5,74798,1,0
Female,Hispanic,32,Bachelors,7.3,22.6,2.2,Urban,8.4,72382,3,0
Male,White,30,High School,3.3,12.6,2.3,Rural,53.7,92140,2,0
Male,Black,26,PhD,2.3,30.7,3.5,Suburban,44.2,82869,2,0
Male,Asian,22,Bachelors,6.9,40.1,4.7,Suburban,76.8,99159,3,1
Female,Black,41,Masters,2.3,100.0,2.9,Suburban,33.3,82521,1,0
Male,White,31,Masters,0.6,79.3,4.4,Suburban,91.2,83150,1,1
Female,White,26,Bachelors,15.7,54.5,3.2,Urban,66.1,95344,1,1
Female,Black,48,Masters,17.9,42.9,1.9,Urban,21.2,119508,3,1
Male,Asian,39,High School,0.6,16.1,2.6,Rural,49.6,85945,3,0
Male,White,36,High School,7.3,82.0,1.1,Urban,84.2,78589,1,1
Male,White,32,Masters,1.2,28.1,1.6,Urban,88.3,101804,1,0
Female,White,50,High School,5.4,69.6,2.1,Urban,65.2,86567,2,0
Male,Hispanic,41,PhD,4.4,67.2,1.0,Rural,65.4,74941,3,0
Female,Asian,49,Masters,3.5,66.0,3.2,Suburban,85.1,76427,3,0
Male,Hispanic,53,High School,12.9,26.1,2.7,Suburban,62.9,89485,3,0
Male,Hispanic,37,Bachelors,5.0,29.3,1.0,Suburban,79.3,96612,3,0
Female,Asian,33,High School,2.1,50.4,2.1,Suburban,69.1,79530,4,0
Female,Black,24,Bachelors,1.4,95.4,1.0,Suburban,27.7,71875,1,0
Female,Asian,37,Masters,0.1,37.3,4.0,Suburban,66.4,77365,3,0
Male,Black,37,High School,0.5,37.3,3.0,Suburban,53.2,71883,2,0
Female,White,22,Masters,4.3,47.1,2.9,Rural,75.8,87040,1,0
Male,Hispanic,33,High School,10.2,61.0,3.9,Rural,41.3,99876,3,1
Male,White,37,Masters,0.5,48.5,2.3,Rural,90.9,71163,1,1
Female,Asian,41,Bachelors,5.1,52.1,5.0,Suburban,78.4,88605,4,1
Male,White,47,Bachelors,8.1,32.7,3.2,Suburban,28.6,95936,2,0
Female,White,43,PhD,2.0,51.3,1.0,Urban,49.7,82529,1,0
Female,Hispanic,24,Masters,4.4,27.3,3.9,Urban,63.8,83091,3,0
Female,White,28,Masters,5.1,31.7,3.5,Urban,49.3,87309,2,0
Male,Asian,27,Masters,9.2,43.1,5.0,Suburban,42.3,100602,3,1
Female,Asian,25,Masters,1.3,23.1,3.6,Rural,77.2,80979,3,0
Female,White,28,Bachelors,6.6,32.2,5.0,Urban,26.1,79044,1,0
Female,Asian,27,Bachelors,0.9,55.2,1.2,Urban,66.4,67978,3,0
Female,Black,29,High School,10.0,49.9,1.0,Urban,25.1,95169,4,0
Female,White,51,Masters,2.2,38.4,1.8,Urban,52.5,83644,1,0
Male,White,44,Bachelors,5.0,41.1,4.6,Urban,40.4,91784,2,1
Male,White,32,Bachelors,2.8,37.5,3.2,Urban,90.4,74315,3,0
Male,White,35,Bachelors,4.4,58.4,5.0,Suburban,55.9,86798,2,1
Male,White,43,Bachelors,6.8,25.9,2.7,Urban,70.4,97481,1,1
Female,White,41,Masters,24.8,75.6,2.1,Urban,78.7,119316,1,1
Male,White,34,Masters,0.4,21.9,3.2,Urban,71.5,95967,2,0
Male,Black,35,Masters,5.2,66.4,1.0,Urban,95.8,86407,1,1
Female,White,44,PhD,6.6,59.8,1.2,Suburban,59.9,98603,1,1
Female,Hispanic,38,High School,16.8,59.2,1.7,Urban,45.1,101265,3,0
Female,Asian,22,Masters,9.2,38.5,1.5,Suburban,29.7,83329,3,0
Male,Black,31,High School,0.4,0.9,1.0,Rural,34.0,74755,2,0
Female,Hispanic,31,High School,10.6,4.1,1.0,Urban,49.7,95238,3,0
Male,Hispanic,34,Masters,0.8,76.0,1.0,Rural,19.6,77767,3,0
Male,Black,46,Bachelors,10.1,36.7,5.0,Urban,71.1,86484,1,1
Female,Hispanic,54,Bachelors,3.5,48.5,2.1,Rural,74.3,78850,4,0
Male,Black,37,Bachelors,16.3,16.3,1.0,Rural,69.9,111609,1,1
Male,White,25,Masters,15.4,77.0,4.6,Suburban,39.2,125457,1,1
Female,White,22,Masters,9.0,83.5,3.5,Rural,100.0,95337,4,1
Female,White,34,Masters,10.1,35.3,2.7,Urban,18.4,91277,2,0
Female,Asian,45,PhD,20.6,51.3,4.5,Suburban,48.3,95577,3,1
Male,Hispanic,60,Bachelors,2.6,5.8,1.0,Urban,78.2,72674,4,0
Female,Hispanic,35,PhD,1.7,14.7,2.1,Rural,54.5,73005,4,0
Male,Hispanic,42,Bachelors,2.8,37.1,2.7,Urban,97.0,75238,4,0
Male,White,33,Bachelors,4.8,77.0,3.3,Urban,58.2,88896,1,1
Female,White,40,PhD,5.9,62.8,4.7,Urban,81.8,76848,1,0
Male,Black,23,Bachelors,0.9,32.0,2.1,Suburban,31.6,71463,1,0
Female,Hispanic,29,Bachelors,8.4,49.6,3.7,Suburban,90.0,88581,3,0
Male,White,22,Masters,4.4,60.3,4.1,Urban,39.7,94262,1,1
Male,Black,37,Bachelors,4.7,36.7,1.0,Suburban,51.3,87683,2,0
Female,White,36,Masters,7.8,33.9,3.0,Urban,44.7,77974,2,0
