Gender,Race,Age,Education_Level,Experience_Years,Technical_Skills,Communication_Score,University_Prestige,Location,Interview_Score,Salary_Expectation,Hiring_Decision
Female,Black,34,Masters,4.5,93.5,1.7,2.2,Urban,59.0,86137,0
Male,Hispanic,31,High School,15.4,95.6,45.5,3.2,Urban,96.7,113202,1
Female,White,54,High School,3.6,38.5,81.7,1.5,Suburban,80.3,86637,0
Male,Hispanic,28,PhD,3.4,91.3,71.6,3.3,Urban,81.6,89528,1
Male,Hispanic,36,High School,2.0,72.0,13.4,2.5,Urban,62.9,80813,0
Male,White,34,Masters,14.5,74.7,83.1,4.3,Rural,87.1,115991,1
Male,Hispanic,37,Bachelors,2.7,38.5,65.1,2.5,Rural,81.2,69751,0
Female,White,50,Masters,2.6,63.2,72.5,3.7,Urban,58.4,71004,0
Male,Black,50,Bachelors,0.1,58.4,57.3,3.4,Rural,49.9,73234,0
Female,Asian,33,Bachelors,17.1,86.4,86.7,2.3,Urban,59.2,109344,1
Male,Hispanic,22,Masters,2.3,37.8,84.3,1.9,Urban,46.1,73664,0
Male,Black,51,Bachelors,1.5,79.0,37.9,1.7,Rural,33.6,81415,0
Female,Hispanic,31,Bachelors,10.8,42.9,25.3,1.9,Suburban,17.9,76000,0
Male,Black,22,Bachelors,3.5,93.3,50.9,1.6,Suburban,51.7,88503,0
Male,White,34,Bachelors,8.2,82.9,71.6,2.4,Urban,32.2,105844,1
Female,Black,37,High School,9.2,62.9,47.8,5.0,Urban,14.3,94753,0
Female,Asian,62,High School,2.0,58.2,30.4,2.8,Urban,80.2,63111,0
Female,Black,29,High School,3.5,48.9,16.1,1.0,Urban,65.4,72165,0
Female,Black,37,High School,2.1,67.3,75.9,1.1,Rural,51.1,82330,0
Female,Hispanic,49,High School,5.4,16.3,44.8,3.6,Urban,8.8,61487,0
Male,White,52,Masters,12.4,69.3,50.8,2.2,Urban,79.8,106119,1
Male,Hispanic,42,Bachelors,9.7,91.8,35.9,2.0,Suburban,27.6,103488,0
Female,Hispanic,22,High School,2.7,87.7,39.5,1.9,Rural,69.0,83063,0
Male,White,22,High School,2.4,79.1,57.0,2.5,Urban,71.4,94262,1
Male,Asian,31,Bachelors,5.2,51.9,21.1,4.5,Suburban,52.9,81197,0
Female,Asian,30,Masters,0.8,94.6,23.7,3.4,Rural,74.6,81405,0
Female,White,22,Bachelors,1.9,98.3,51.3,1.3,Urban,54.2,97904,0
Female,White,43,Bachelors,0.1,94.3,59.2,2.7,Urban,18.8,89840,0
Male,Asian,22,High School,0.2,39.3,52.4,3.0,Urban,100.0,64309,0
Female,Black,31,Bachelors,1.8,91.6,61.4,2.1,Rural,16.4,86015,0
Male,Black,30,Masters,17.6,70.4,74.6,1.1,Suburban,37.6,111128,1
Male,White,35,Masters,2.9,28.6,29.4,3.5,Suburban,43.1,75237,0
Male,Black,23,Bachelors,2.2,92.0,19.4,1.0,Suburban,86.1,88662,0
Female,Black,30,High School,0.5,63.8,68.1,1.6,Suburban,46.8,66899,0
Male,Hispanic,30,Masters,3.6,96.1,0.0,2.0,Rural,56.2,92498,0
Male,Black,41,Masters,4.1,100.0,59.2,1.9,Suburban,25.7,101421,0
Female,Asian,36,Masters,3.4,88.2,28.6,1.7,Urban,44.8,83431,0
Male,Black,23,Bachelors,7.9,57.0,23.6,4.9,Urban,60.5,88995,0
Female,Hispanic,34,Masters,0.6,38.4,30.4,2.6,Urban,53.4,56773,0
Female,Asian,26,Bachelors,8.6,78.4,59.3,1.3,Urban,69.0,93827,0
Female,Black,39,PhD,7.7,43.1,43.5,2.1,Suburban,47.2,87407,0
Male,White,28,Bachelors,0.2,43.2,49.4,4.4,Suburban,96.2,73628,1
Male,Asian,52,Masters,3.5,88.4,48.5,3.3,Suburban,82.9,86065,1
Female,Black,47,Masters,9.3,65.0,39.4,1.7,Suburban,58.6,94072,0
Male,Asian,32,High School,1.4,67.3,38.3,2.4,Suburban,100.0,75181,1
Female,Hispanic,40,Masters,9.8,83.2,61.4,2.1,Rural,12.3,91832,0
Female,Asian,43,Masters,3.8,73.7,74.7,3.7,Rural,64.5,80266,1
Male,White,46,Masters,25.0,100.0,63.5,2.5,Suburban,92.2,147278,1
Male,Hispanic,35,Bachelors,15.3,21.8,26.1,2.1,Urban,17.3,97663,0
Female,White,37,Bachelors,4.9,39.7,66.5,1.4,Urban,54.3,85636,0
Male,Asian,27,Masters,2.1,93.6,6.7,4.1,Urban,82.5,85763,0
Female,Hispanic,40,High School,2.8,64.2,50.5,2.2,Urban,56.8,72062,0
Male,White,41,High School,1.2,80.8,12.9,2.1,Urban,54.9,84208,0
Male,Hispanic,45,Bachelors,9.6,64.1,55.7,4.8,Urban,34.1,92345,0
Male,Asian,27,Bachelors,17.3,84.3,37.7,2.3,Rural,42.9,110291,1
Female,White,29,Bachelors,0.1,81.2,69.7,1.4,Suburban,78.8,88240,0
Female,Hispanic,22,High School,3.7,56.1,27.8,1.5,Suburban,32.5,84554,0
Female,Black,34,Masters,0.2,85.8,79.2,1.0,Suburban,37.2,73812,0
Male,Asian,22,PhD,3.1,88.1,73.3,1.6,Suburban,29.6,83546,0
Female,Black,33,PhD,16.6,69.2,46.3,1.0,Rural,0.0,97748,0
Male,White,30,High School,6.0,56.1,38.2,5.0,Suburban,81.4,78049,1
Male,Asian,34,High School,5.9,53.9,36.5,1.0,Urban,38.5,87416,0
Male,Asian,22,Masters,2.1,26.5,30.9,1.8,Suburban,70.3,71808,0
Female,White,51,Bachelors,2.2,74.5,63.2,1.7,Suburban,49.0,80195,0
Female,Asian,48,Bachelors,10.9,76.0,32.4,1.8,Urban,43.2,103895,0
Male,White,39,Bachelors,11.5,66.1,70.4,2.9,Rural,62.4,104743,1
Male,Asian,46,Bachelors,1.0,83.2,29.1,3.0,Urban,35.2,88972,0
Male,Black,36,Masters,4.7,81.2,91.0,3.2,Rural,22.7,92106,0
Male,Black,31,Bachelors,0.6,43.7,25.2,4.4,Urban,72.7,66107,0
Female,White,22,Bachelors,4.8,80.5,100.0,1.8,Rural,16.6,89955,0
Male,Black,37,Bachelors,11.3,66.9,48.0,3.7,Urban,8.0,98382,0
Female,Black,38,High School,1.5,73.6,48.6,1.1,Urban,23.4,79809,0
Male,Hispanic,40,Masters,13.6,58.1,54.2,3.0,Urban,57.0,102522,1
Male,Hispanic,39,Bachelors,5.7,67.1,22.8,1.1,Suburban,89.3,83684,0
Male,Hispanic,40,Bachelors,1.8,73.7,27.0,2.4,Suburban,71.2,70869,0
Male,White,46,Masters,6.0,85.9,36.1,2.3,Urban,65.8,101549,1
Male,Black,40,High School,10.6,47.2,58.7,1.6,Suburban,83.2,78895,0
Male,White,25,High School,3.9,23.9,24.8,2.5,Urban,30.3,79725,0
Male,White,46,High School,8.4,48.5,25.5,1.0,Urban,41.9,93305,0
Female,White,41,Masters,3.3,60.6,38.4,4.0,Suburban,43.4,76836,0
Male,White,39,Bachelors,0.3,61.1,41.2,1.2,Urban,73.1,82339,0
Male,White,38,Bachelors,4.0,84.3,71.3,4.4,Urban,100.0,98476,1
Male,Asian,29,Masters,6.1,99.5,94.3,3.0,Rural,78.2,100251,1
Female,White,30,Bachelors,9.9,58.2,32.5,2.9,Urban,18.8,98389,0
Female,Asian,22,Bachelors,6.7,100.0,32.8,1.6,Urban,42.8,92339,0
Male,Black,27,Masters,5.6,42.0,4.0,4.3,Urban,8.8,76852,0
Male,White,22,Masters,6.1,40.3,56.3,1.0,Urban,57.9,87411,0
Male,White,33,Masters,3.4,100.0,24.3,2.2,Urban,34.8,103392,1
Female,White,40,Masters,5.9,70.8,19.7,2.3,Rural,56.5,90043,0
Female,Asian,35,Masters,2.6,90.0,13.9,1.0,Urban,89.4,78108,0
Male,Black,32,Masters,3.8,64.3,40.6,3.3,Urban,52.6,74523,0
Male,Black,42,High School,6.8,52.8,71.8,3.3,Urban,51.8,85417,0
Male,White,43,High School,7.7,80.7,74.3,4.2,Suburban,69.5,99661,1
Female,Asian,41,Masters,11.5,70.6,49.0,4.0,Urban,66.8,95347,1
Female,White,22,Bachelors,0.2,77.4,55.4,3.5,Suburban,57.5,78859,0
Male,White,39,Masters,25.0,40.4,87.2,2.7,Urban,43.9,123246,1
Male,White,29,Bachelors,13.3,55.3,29.2,1.7,Urban,73.5,102515,1
Female,White,46,PhD,6.5,55.0,79.0,4.0,Suburban,100.0,85546,1
Male,White,35,Bachelors,6.8,60.1,44.4,2.3,Urban,100.0,97222,1
Male,White,49,Bachelors,4.4,95.5,19.4,1.4,Suburban,55.7,99542,0
Female,Black,42,High School,2.5,40.1,57.2,3.6,Rural,64.8,64431,0
Female,White,33,High School,13.9,76.9,23.8,1.2,Urban,75.5,111750,1
Male,White,27,Bachelors,13.3,67.9,9.6,1.3,Urban,74.2,113610,1
Male,White,37,PhD,10.6,89.3,86.1,1.8,Urban,99.9,111012,1
Female,Asian,41,Masters,0.4,45.7,52.9,4.6,Urban,47.2,63316,0
Female,White,44,High School,3.5,81.8,90.9,4.0,Suburban,70.1,85676,1
Male,Black,30,High School,16.6,30.8,87.9,1.1,Rural,20.8,86482,0
Female,Black,28,Masters,2.2,39.3,31.2,1.6,Rural,63.0,62641,0
Male,Asian,25,Bachelors,3.2,100.0,26.5,2.5,Urban,77.1,94027,1
Male,White,40,Masters,0.8,85.1,25.0,2.2,Urban,95.4,92672,0
Male,White,44,High School,25.0,49.5,24.1,2.1,Urban,44.0,125616,1
Female,White,43,High School,1.2,66.0,51.0,2.2,Rural,82.4,66949,0
Female,White,22,High School,18.0,77.2,64.0,2.4,Suburban,57.9,119042,1
Female,Hispanic,45,Bachelors,0.1,8.3,51.0,3.1,Urban,78.1,51808,0
Male,White,23,High School,2.0,90.2,49.3,1.9,Urban,100.0,94832,1
Female,White,40,Bachelors,7.9,87.1,61.5,3.9,Suburban,52.2,101277,1
Female,Asian,49,High School,1.3,95.4,36.0,3.2,Urban,14.6,82941,0
Female,Black,39,High School,4.0,38.7,96.5,1.9,Urban,34.9,74926,0
Male,Asian,23,Bachelors,1.2,69.3,52.7,3.5,Urban,48.6,80069,0
Male,Asian,45,Masters,1.2,84.1,36.3,2.4,Rural,18.9,84977,0
Male,White,31,Masters,2.7,56.9,75.4,1.2,Rural,80.5,82152,1
Male,Asian,37,Bachelors,5.3,55.6,74.1,5.0,Urban,100.0,75112,1
Male,Black,40,Masters,0.1,48.3,43.7,3.3,Suburban,56.6,68509,0
Male,White,45,Bachelors,14.3,48.0,63.7,1.5,Rural,72.5,102631,1
Female,Hispanic,43,Masters,6.1,65.7,32.6,1.0,Urban,57.2,86032,0
Male,Black,59,Bachelors,3.7,51.1,20.3,3.2,Urban,55.4,78411,0
Female,White,38,PhD,8.0,91.4,55.8,2.1,Suburban,53.8,104645,1
Male,Black,36,High School,0.7,67.8,9.7,2.7,Suburban,100.0,77886,0
Male,White,39,Masters,0.2,82.5,47.3,4.2,Urban,57.0,83244,0
Female,Hispanic,27,High School,5.6,81.0,4.3,1.9,Urban,51.8,91391,0
Female,Black,30,High School,2.4,51.5,87.3,3.0,Urban,25.4,75096,0
Male,Hispanic,22,Bachelors,1.6,19.3,12.7,1.0,Urban,59.4,68116,0
Male,Asian,41,Masters,7.2,48.0,5.4,3.1,Rural,42.9,85138,0
Female,White,40,Bachelors,1.9,65.7,53.2,4.0,Rural,55.9,81685,0
Male,Hispanic,50,High School,1.4,57.7,30.0,1.9,Suburban,70.0,68773,0
Male,White,26,Masters,9.7,77.0,51.5,2.5,Urban,60.7,106910,1
Female,White,23,High School,4.2,61.3,43.7,3.2,Suburban,81.5,87504,1
Male,Asian,23,Masters,8.5,98.4,64.9,4.1,Urban,32.9,99588,1
Female,Asian,29,PhD,14.4,82.1,33.3,3.4,Urban,49.2,98597,1
Female,White,37,High School,0.8,59.0,73.6,1.2,Urban,15.1,83146,0
Male,Hispanic,56,Bachelors,5.3,70.5,62.6,4.1,Suburban,57.7,79458,1
Female,Hispanic,22,High School,7.0,85.1,36.8,1.8,Suburban,20.1,88787,0
Female,White,45,Masters,9.9,64.0,72.2,3.3,Urban,14.1,99793,0
Male,Asian,28,Bachelors,11.3,26.9,43.6,1.7,Urban,96.1,81884,1
Male,White,34,Masters,6.2,84.7,75.9,1.0,Suburban,100.0,104540,1
Male,White,27,PhD,0.8,72.0,73.5,2.5,Suburban,25.9,85531,0
Female,White,33,PhD,1.3,65.9,46.0,5.0,Urban,23.5,79819,0
Male,Black,45,High School,2.5,34.5,45.5,3.1,Urban,30.2,78618,0
Male,White,28,Bachelors,1.0,86.9,89.0,2.5,Rural,80.7,86405,1
Male,Hispanic,36,Bachelors,0.0,78.8,0.2,1.0,Suburban,22.5,77347,0
Female,Black,36,Masters,16.2,18.6,42.7,1.8,Suburban,20.8,84708,0
Male,White,35,Masters,9.4,61.8,30.3,2.0,Urban,47.4,92337,0
Male,Hispanic,42,Masters,0.4,46.2,51.1,1.5,Suburban,77.1,69426,0
Female,Hispanic,22,PhD,3.8,48.4,0.0,1.8,Suburban,36.9,78689,0
Male,White,53,Masters,0.3,61.2,71.1,1.2,Suburban,35.3,84465,0
Female,Hispanic,36,Bachelors,8.7,66.4,79.3,1.0,Rural,11.1,80483,0
Male,White,60,High School,8.7,24.6,72.0,1.2,Suburban,85.0,86247,1
Male,Hispanic,22,Bachelors,9.5,100.0,83.9,1.4,Urban,100.0,102173,1
Female,Asian,25,Masters,4.5,85.3,40.1,5.0,Urban,17.5,87634,0
Female,White,22,Masters,2.3,70.0,35.6,2.2,Suburban,58.6,81839,0
Male,Hispanic,28,Masters,17.5,8.4,16.0,1.1,Rural,95.8,91248,1
Male,White,34,High School,13.8,31.3,70.2,3.6,Urban,80.8,94411,1
Female,Black,23,Bachelors,1.4,52.2,83.5,2.1,Urban,67.7,69707,0
Male,Black,22,Masters,6.4,87.4,22.9,1.0,Suburban,34.1,98393,0
Female,Black,34,Masters,1.5,47.3,100.0,3.0,Urban,29.1,70460,0
Male,Asian,29,Bachelors,0.6,43.2,60.1,3.5,Rural,75.2,70945,0
Male,Hispanic,47,Bachelors,7.7,57.0,38.8,3.2,Suburban,79.9,86081,0
Male,Asian,35,Masters,0.1,100.0,38.1,2.0,Urban,54.8,89809,0
Male,Hispanic,28,Bachelors,4.0,41.6,64.0,5.0,Urban,81.5,80458,0
Female,White,27,Bachelors,11.2,79.9,42.5,1.9,Urban,48.7,102424,1
Male,Black,25,High School,15.4,66.0,20.4,4.5,Urban,59.0,104057,1
Female,White,29,Masters,7.7,87.3,36.1,2.2,Urban,76.4,100160,1
Female,White,23,Bachelors,11.9,59.2,30.3,4.0,Urban,71.6,95094,1
Male,Black,38,High School,2.0,77.5,31.3,3.3,Urban,66.7,90795,0
Male,White,39,PhD,10.9,76.1,23.5,1.0,Urban,79.5,111313,1
Female,Hispanic,22,Masters,2.2,77.5,72.8,1.2,Urban,72.4,75051,0
Male,Hispanic,33,Bachelors,4.8,86.2,38.1,1.5,Suburban,71.0,88526,0
Male,White,43,Bachelors,0.2,39.6,36.9,2.6,Urban,77.4,65190,0
Female,White,26,High School,0.3,45.6,98.0,1.1,Suburban,61.7,79028,0
Male,Hispanic,51,Bachelors,2.6,60.0,33.4,3.8,Urban,79.1,71544,0
Male,Hispanic,29,Masters,3.7,94.1,75.5,1.3,Suburban,73.0,85601,0
Female,Hispanic,50,Masters,4.7,94.3,51.7,1.5,Rural,43.5,89957,0
Male,White,42,High School,0.4,78.8,37.1,2.6,Rural,37.8,88723,0
Female,Black,54,Bachelors,9.7,61.9,92.6,3.2,Suburban,23.1,90812,0
Male,Asian,47,Masters,7.5,66.3,35.6,1.2,Urban,50.9,90657,0
Male,Black,39,High School,2.4,66.4,76.9,1.0,Urban,52.8,80844,0
Female,Black,31,Bachelors,1.4,64.3,70.2,1.8,Urban,54.9,76268,0
Female,White,34,Bachelors,3.9,18.6,56.5,2.7,Rural,72.5,66205,0
Male,Black,30,Bachelors,5.6,73.9,28.9,2.1,Urban,92.7,100009,0
Male,Asian,22,PhD,6.5,86.2,2.3,4.3,Urban,40.6,91213,0
Male,White,38,High School,14.6,24.4,55.5,4.7,Urban,71.0,91028,1
Male,Hispanic,32,Bachelors,8.1,49.5,30.2,1.0,Urban,42.2,82584,0
Female,White,35,High School,13.9,34.0,92.3,2.7,Urban,0.0,104842,0
Female,White,39,Masters,18.8,71.7,84.0,1.6,Rural,85.6,116618,1
Female,White,42,Bachelors,1.6,89.9,36.7,2.7,Urban,57.7,83024,0
Male,White,42,High School,2.4,44.9,33.0,1.0,Urban,95.5,84874,0
Female,White,49,Masters,2.8,46.9,35.0,1.9,Urban,86.9,73227,0
Female,Hispanic,35,High School,0.9,49.7,25.5,2.3,Suburban,67.7,58639,0
Female,Black,37,Bachelors,4.1,79.6,61.8,4.0,Suburban,32.5,80229,0
Female,Hispanic,39,Bachelors,7.4,95.7,47.2,3.8,Urban,19.4,102703,0
Female,Black,29,Masters,1.2,65.6,52.7,4.4,Suburban,37.6,74666,0
Male,White,22,Masters,0.1,67.7,77.8,2.8,Suburban,68.0,75400,1
Female,Black,32,Masters,0.1,79.6,83.2,5.0,Urban,27.4,73896,0
Male,Asian,28,Bachelors,1.4,65.1,60.0,4.5,Suburban,42.7,73220,0
Female,White,33,Masters,16.6,33.2,43.0,1.1,Urban,45.3,100077,0
Female,Black,33,Masters,0.6,68.2,61.6,1.0,Suburban,63.6,77883,0
Female,Hispanic,24,PhD,1.7,73.8,0.0,1.8,Rural,1.5,83755,0
Female,Hispanic,32,Bachelors,0.9,19.1,66.3,2.5,Rural,67.9,57301,0
Female,Asian,27,High School,12.0,91.4,35.4,1.1,Urban,74.1,101004,0
Female,Black,41,High School,1.1,38.0,6.5,1.8,Urban,52.4,68185,0
Female,Asian,52,High School,3.9,28.7,58.5,2.8,Suburban,11.1,67940,0
Male,White,35,Bachelors,5.3,98.8,91.6,3.9,Urban,43.5,89531,1
Male,White,27,Masters,6.8,37.8,95.8,1.1,Urban,91.1,87783,1
Female,Hispanic,55,High School,11.5,64.6,10.0,2.6,Urban,37.6,85454,0
Female,Hispanic,47,High School,2.1,52.9,25.7,1.0,Urban,37.2,79328,0
Female,Black,32,High School,3.5,79.6,57.9,1.0,Rural,32.6,78934,0
Female,Asian,33,Bachelors,5.7,94.8,16.1,1.4,Rural,52.3,89648,0
Female,Black,27,Bachelors,5.4,48.6,55.8,3.5,Suburban,91.1,79823,0
Male,Hispanic,40,High School,6.5,77.4,35.6,1.0,Urban,62.3,85422,0
Male,White,29,High School,19.4,68.8,40.5,1.5,Urban,97.8,122565,1
Female,Black,26,Bachelors,3.5,97.8,80.2,1.0,Suburban,73.6,92105,0
Female,White,27,PhD,0.8,94.6,23.9,3.3,Suburban,84.3,86566,0
Female,Asian,37,Masters,6.1,71.3,34.4,1.2,Suburban,53.1,71851,0
Female,White,29,Bachelors,18.6,71.5,70.1,1.5,Urban,69.3,120565,1
Female,Hispanic,27,Masters,5.3,71.0,15.5,2.7,Rural,67.4,74699,0
Male,Black,25,Bachelors,3.0,55.5,70.5,1.1,Urban,11.6,70233,0
Female,Black,33,High School,3.7,76.7,33.5,3.3,Suburban,72.3,83971,0
Male,Hispanic,22,PhD,7.8,60.4,56.2,1.8,Urban,38.8,84924,0
Male,Hispanic,28,High School,3.3,52.6,65.3,2.0,Rural,75.7,85145,0
Male,Asian,35,Bachelors,10.5,46.1,10.1,2.1,Suburban,67.5,91337,1
Male,White,37,Masters,7.9,77.9,18.1,2.6,Suburban,60.7,100385,1
Female,Black,22,Bachelors,10.9,18.6,43.4,4.5,Rural,40.6,82041,0
Male,Hispanic,32,Bachelors,2.2,49.0,72.6,1.0,Urban,24.8,84194,0
Female,Asian,28,Masters,4.8,59.8,86.6,1.8,Suburban,51.5,75647,0
Male,White,48,Bachelors,0.6,33.6,93.9,3.5,Urban,86.2,71689,1
Male,White,43,Bachelors,0.7,96.3,0.0,4.5,Rural,71.9,89457,1
Male,White,34,Bachelors,1.1,36.7,47.8,3.0,Rural,79.7,63481,0
Female,White,30,High School,6.9,69.0,37.5,3.5,Urban,78.3,94216,0
Female,Hispanic,40,Bachelors,3.6,52.1,81.2,1.0,Urban,72.4,67778,0
Male,White,41,High School,4.5,43.1,43.6,4.2,Rural,84.5,85880,1
Female,White,35,Masters,9.3,65.5,37.6,1.7,Urban,81.5,95055,0
Male,Asian,36,High School,22.0,99.3,44.9,2.3,Suburban,68.7,129950,1
Female,Black,35,Bachelors,1.7,57.8,39.6,1.0,Rural,62.8,67277,0
Female,Hispanic,46,Bachelors,0.5,49.3,33.2,1.1,Urban,47.8,68106,0
Female,White,46,Masters,2.4,63.4,33.3,4.3,Urban,29.6,88870,0
Male,White,28,High School,0.3,82.5,30.1,3.2,Urban,92.7,92713,1
Male,White,33,Bachelors,11.7,83.7,76.0,1.4,Rural,68.0,111494,1
Male,Black,32,Bachelors,8.3,60.2,48.9,1.5,Urban,10.1,88123,0
Female,White,31,High School,5.3,72.2,67.2,4.5,Suburban,43.5,87695,0
Male,White,36,High School,25.0,53.3,21.5,2.7,Suburban,23.8,128569,1
Female,White,43,Masters,12.7,32.5,58.4,3.2,Urban,70.6,94079,1
Male,Black,22,High School,0.2,63.1,27.8,1.0,Urban,84.6,82787,0
Male,Hispanic,53,Masters,13.3,84.9,71.3,1.2,Suburban,49.0,107320,1
Female,Hispanic,26,High School,5.0,55.8,34.6,2.6,Urban,18.9,84662,0
Male,Black,40,Masters,2.5,60.4,37.0,3.8,Urban,30.0,75498,0
Male,Black,41,High School,0.8,79.0,11.3,1.0,Suburban,97.8,80404,0
Female,Hispanic,51,Masters,1.2,92.3,46.3,3.8,Urban,60.5,87971,0
Male,Asian,26,High School,5.3,56.7,69.1,2.9,Urban,89.3,82969,1
Female,White,30,High School,11.8,77.6,60.3,5.0,Urban,1.4,103204,0
Male,Hispanic,35,Bachelors,6.1,45.3,38.3,1.2,Urban,37.0,74504,0
Male,Asian,22,Bachelors,8.1,57.7,24.8,4.4,Suburban,100.0,79573,1
Female,Asian,54,Bachelors,2.5,94.2,0.0,1.0,Urban,63.8,79860,0
Male,White,43,High School,4.1,92.7,86.6,1.4,Suburban,89.7,92238,1
Female,Black,43,High School,2.0,62.8,67.7,3.0,Rural,77.5,80188,0
Male,Black,37,Masters,2.9,55.2,23.8,3.2,Urban,59.1,75932,0
Male,White,42,PhD,7.1,69.3,65.8,1.4,Urban,52.3,99448,1
Male,Black,44,Masters,11.9,61.9,92.1,1.9,Suburban,66.3,97623,1
Male,Black,25,PhD,1.4,100.0,32.6,2.6,Urban,15.9,90115,0
Female,Asian,44,Masters,8.8,42.9,35.8,4.4,Rural,62.1,83850,0
Male,Asian,29,Masters,7.5,59.0,0.0,3.1,Urban,53.5,86116,0
Male,Black,34,High School,10.9,75.1,34.9,3.3,Urban,72.2,95256,1
Male,White,35,Masters,1.1,63.1,58.8,2.8,Suburban,51.4,86386,1
Male,Asian,40,Masters,3.1,77.1,46.6,4.4,Urban,28.2,84340,0
Female,Asian,57,Bachelors,4.9,25.7,54.5,1.2,Urban,81.7,69916,0
Female,Hispanic,48,Masters,0.7,72.1,63.0,1.1,Suburban,55.4,76009,0
Female,White,35,Bachelors,0.2,79.2,56.5,4.4,Urban,67.8,78460,0
Male,Black,27,Masters,3.1,53.6,0.1,1.0,Urban,70.8,79287,0
Female,Black,48,High School,8.1,94.1,65.9,1.0,Suburban,39.4,89233,0
Male,Black,32,Masters,19.0,79.8,16.1,1.2,Urban,77.2,116324,1
Female,White,47,PhD,25.0,89.5,43.8,4.6,Rural,69.2,142089,1
Female,Black,35,Masters,6.9,67.1,45.3,1.0,Urban,61.2,89057,0
Male,Asian,29,Masters,11.5,48.8,8.0,3.3,Rural,55.1,95224,0
Male,Asian,38,PhD,10.8,77.4,84.2,3.9,Urban,28.7,93713,1
Female,Asian,48,High School,8.6,67.2,41.7,1.5,Suburban,55.3,83063,0
Female,Asian,41,Bachelors,9.1,80.0,32.7,2.8,Suburban,56.0,88459,0
Male,Hispanic,48,PhD,0.8,98.0,48.2,4.4,Rural,73.5,85350,0
Male,White,30,High School,1.9,32.4,41.4,1.9,Urban,97.5,72197,0
Male,Black,36,Masters,5.6,100.0,12.2,1.0,Rural,54.4,101418,0
Female,Asian,39,High School,7.6,21.6,38.7,2.0,Suburban,62.3,66195,0
Female,Black,25,PhD,2.4,54.3,62.1,2.4,Urban,82.5,66901,0
Male,Hispanic,22,Masters,1.1,64.7,20.5,2.5,Urban,22.4,81319,0
Female,White,51,High School,2.6,98.8,99.7,5.0,Urban,55.2,86146,1
Male,White,32,High School,1.0,62.7,92.8,2.4,Rural,54.1,84792,1
Female,White,32,Masters,3.1,53.4,69.4,2.3,Urban,78.9,89634,0
Male,White,31,High School,9.8,58.9,48.2,4.3,Rural,98.4,96562,1
Male,White,46,Masters,1.3,70.6,55.3,1.0,Urban,78.7,82493,1
Female,Hispanic,32,Bachelors,2.6,84.5,5.3,2.4,Urban,43.0,76063,0
Male,Black,34,High School,0.2,39.5,26.4,1.0,Urban,85.0,70429,0
Female,White,43,Bachelors,2.5,85.9,59.9,1.4,Suburban,90.4,87407,0
Male,White,52,Bachelors,2.4,100.0,47.5,1.6,Rural,100.0,104716,1
Female,Black,31,Masters,0.4,49.0,32.2,1.0,Urban,75.9,61672,0
Female,Asian,36,High School,9.1,34.6,25.5,2.7,Urban,65.1,86887,0
Male,Asian,22,High School,4.1,97.3,87.2,3.3,Suburban,93.4,93551,1
Male,Hispanic,31,High School,1.4,81.7,55.5,3.7,Urban,19.7,82427,0
Female,Hispanic,22,Bachelors,0.2,64.7,59.3,1.0,Urban,58.9,69877,0
Male,Black,22,Masters,1.5,25.4,46.6,1.3,Urban,40.7,58537,0
Female,White,22,Bachelors,1.5,80.0,54.9,1.8,Suburban,0.5,73304,0
Male,Hispanic,35,Bachelors,1.1,57.1,24.1,1.5,Suburban,61.1,79009,0
Female,Hispanic,53,Masters,7.0,92.6,62.2,1.0,Urban,60.7,94170,0
Female,White,25,High School,1.9,56.3,15.9,2.2,Urban,70.9,75252,0
Male,Hispanic,33,Masters,5.4,100.0,34.6,3.3,Urban,49.6,95498,1
Female,Asian,32,Masters,9.9,83.4,48.8,3.5,Suburban,26.0,86646,0
Male,Black,38,High School,1.0,94.0,21.3,2.3,Suburban,100.0,92726,1
Female,Asian,31,PhD,2.5,100.0,74.9,3.5,Urban,27.5,82595,0
Male,Hispanic,38,High School,0.3,80.6,17.6,1.4,Suburban,45.5,74428,0
Male,Black,25,High School,0.5,43.3,58.9,2.9,Suburban,80.2,69011,0
Female,White,39,PhD,1.8,100.0,44.0,4.4,Rural,53.6,96225,0
Female,Asian,33,Bachelors,2.5,90.8,34.0,1.0,Suburban,81.7,86925,0
Male,Asian,51,High School,6.1,69.7,28.6,2.1,Urban,84.5,92159,0
Male,Hispanic,22,Bachelors,6.9,91.3,31.9,1.8,Suburban,47.6,83809,0
Female,White,35,Bachelors,6.6,66.5,15.2,3.2,Suburban,63.4,84688,0
Male,White,24,PhD,0.5,59.0,92.0,2.0,Urban,97.5,84032,1
Male,Asian,30,Bachelors,6.8,58.9,23.7,5.0,Rural,64.3,90713,1
Male,Black,25,Masters,5.2,73.3,75.6,2.0,Urban,76.1,95807,1
Female,White,22,Bachelors,2.1,69.2,26.9,1.7,Urban,45.0,74706,0
Male,White,35,Masters,1.8,68.1,70.9,1.4,Suburban,49.9,86247,0
Female,White,31,PhD,0.7,52.2,34.2,1.0,Urban,51.3,62967,0
Female,Hispanic,33,Bachelors,5.7,72.4,62.1,1.3,Rural,70.7,81083,0
Female,Asian,40,Masters,0.1,57.9,52.1,3.8,Suburban,48.8,69140,0
Male,Black,33,Bachelors,3.2,85.3,65.6,1.9,Suburban,82.1,92461,0
